tagalog,english,cebuano
"Kung di ka kumain, mamamatay ka.","If you don't eat, you will die.","Kung di ka mokaon, mamatay ka."
Bihira lang umulan dito.,It rarely rains here.,Panagsa ra ulan dinhi.
Mas mainit-init na.,It's warmer.,Mas init-init na.
Maaaring umulan anumang oras.,It can rain at any time.,Mahimong moulan sa bisan unsang orasa.
Parang buhay pa siya.,It's like he's still alive.,Murag buhi pa siya.
Halos hatinggabi na dito.,It's almost midnight here.,Hapit tungang gabii na dinhi.
Talagang madilim sa labas.,It's really dark outside.,Tinuod nga ngitngit sa gawas.
Kaunti na lang ang kailangang gawin.,There is little left to do.,Gamay na lang ang kinahanglan na buhatonon.
Puwede ko bang hiramin ang bisikleta mo?,can i borrow your bike,Mahimo ba ko manghulam sa imong bisikleta?
Pakisabi sa akin kung kailan pupunta.,Please tell me when to go.,Palihug sultihi ko og kanu-a mag-adto.
Tinanggi niyang natagpo niya siya.,He denied having met her.,Nagdumili siya sa nakita niya siya.
May mata siya para sa kagandahan.,She has an eye for beauty.,Aduna siyay mata alang sa kadaghanan.
Hinila niyang pataklob ang sweater niya.,He pulled up his sweater.,Gibira niya iyang sweater pataklob.
Pakibagalan niyo po ang inyong pagsasalita.,Please slow down your speech.,Pakihinay ninyo sa inyong sinultihan.
"Dahan-dahan magsalita, nga!","Speak slowly, yes!","Hinayninaya inyong pagsulti, palihug!"
Biglang umulan.,Suddenly it rained.,Kalit nga miulan.
Biglang naging maingay.,It suddenly became noisy.,Kalit lang nga ningsaba.
Di pa kumalembang ang kampana.,The bell has not yet rung.,Wala pa ningbagting ang kampana.
Medyo malayo ang estasyon.,The station is quite far.,Medyo layo ang estasyon.
Nars ang anak nilang babae.,Their daughter is a nurse.,Nars ang ilang anak nga babaye.
Halos walang mga libro.,There are almost no books.,Hapit walay mga libro.
Walang TV sa kuwarto ko.,There is no TV in my room.,Walay TV sa akong kwarto.
Hinalal nila siyang chairman.,They elected him chairman.,Napili nila siya tagapangulo.
Nag-away sila hanggang sa katapusan.,They fought until the end.,Nag away sila hangtud sa katapusan.
Puno ng aklat itong kahon.,This box is full of books.,Puno sa libro kininh kahon.
Gawa sa kahoy itong sulatan.,It is made of wood.,Gama sa kahoy kining sulatanan.
Uminom ng tasang kape si Tomas.,Tomas drank a cup of coffee.,Miinum ug usa ka tasang kape si Tomas.
Humaharap ng hamon si Tom.,Tom faces a challenge.,Gaatubang ug hagit si Tomas.
Gusto ni Tomas ang siyensiyang piksiyon.,Tomas likes science fiction.,Gusto ni Tomas ang Thomas siyensiya nga piksiyon.
Mahal ni Tomas ang siyensiyang piksiyon.,Tomas loves science fiction.,Ganahan si Tomassa siyensiyang pikisiyon.
Nagkakasayihan kami.,We are having fun.,Nagkalingaway mi.
Binili namin ang bahay ng mama.,We bought mom's house.,Gipalit namo ang balay sa tawo.
Binili natin ang bahay ng mama.,We bought mom's house.,Gipalit nato ang balay sa tawo.
May parti kami kagabi.,We had a party last night.,Nagparti mi kagabii.
Nanahimik kami sa silid.,We were silent in the room.,Naghilum mi sa kuwarto.
Babalik kami muli.,We will be back again.,Mubalik mi usab.
Ano naman ang kasintahan niya?,What about her boyfriend?,Unsa sad ang uyab niya?
Anong sinabi ni Tom tungkol sa akin?,What did Tom say about me?,"Unsa ang gisulti ni Tom, mahitungod sa ako?"
Anong nangyari sa pagkain natin?,What happened to our food?,Unsa ang nahitabo sa atong pagkaon?
Anumang sinasabi niya'y totoo.,Whatever he says is true.,Bisan unsa nga iyang isulti tinuod.
"Kailan tayo kakain, kaya.","When will we eat, so",Kanus-a kaha ta mangaon?
Saan ang pinakamalapit na bangko dito?,Where is the nearest bank here?,Hain man ang labing duol nga bangko dinhi?
Aling sapatos ang napakaliit?,Which shoe is too small?,Asa nga sapatos ang gamay kaayo?
Sumunod ka sa sasabihin ko.,Follow what I say.,Sunda ang akong isulti kanimo.
Mas magaling na huwag mong puntahan iyon.,Better not go there.,Mas mamaayo nga dili to nimo adtoan.
Nahawa ako sa sipon mo.,I caught your cold.,Natakdan ko sa imong sip-on.
Kailangan ng pintura ng bahay mo.,Your house needs paint.,Kinahanglan og p pintal sa panimalay nimo.
Halos walang naniwala sa kanya.,Almost no one believed him.,Hapit walay usa nga mituo kaniya.
Ang hindi magandang panahon ay hindi hadlang.,Bad weather is no obstacle.,Ang dili maayo nga panahon dili usa ka babag.
Pwede ko bang hiramin itong payong?,can i borrow this umbrella,Mahimo ba manghulam niini nga payong?
Maaari ko bang makausap si Tom?,Can I speak to Tom?,Mahimo ba na maistroya nako si Tom?
Alam mo ba ang daan pauwi sa inyo?,Do you know the way home?,Kahibalo ba ka sa dalan pauli sa balay ninyo?
Natanggap mo na ba ang sulat?,Have you received the letter?,Nadawat na ba nimo ang sulat?
"Umiinom ka ba ng tsa, o kape?","Do you drink tea, or coffee?","Gainum ba ka og tsa-a, o kape?"
"Alin ang mas gusto mo, ang ulam, o ang isda?","Which do you prefer, the dish, or the fish?","Asa imong mas gusto, ang sud-an, o ang isda?"
Gusto mo talagang malaman?,You really want to know?,Gusto gayud nimo mahibal-an?
Gusto mo talagang maalaman?,You really want to know?,Gusto gayud nimo mahibal-an?
Gusto mo bang tignan?,do you want to see,Gusto ba nimo makita?
Gawin mo na ang takdang-aralin mo.,Do your homework.,Buhata imong bulahatton.
Huwag kang pumatol sa mas bata sa iyo.,Don't cut someone younger than you.,Ayaw og patol sa mas batan-on pa kay sa imo.
Nakakita ka na ba ng koala?,Have you ever seen a koala?,Nakakita na ba ka ug koala?
"Sa isang sens, artista siya.","In a sense, he is an artist.","Sa usa ka pagsabot, artista siya."
Pinaghahahanap siya ng mga pulis.,The police are looking for him.,Gipangita siya sa mga pulis.
Pininturahan niya ang bisikleta niyang pula.,He painted his bicycle red.,Pintalan niya ang iyang bisikleta og pula.
"Ngumiti siya, tapos nagpaalam.","He smiled, then said goodbye.","Ningisi siya, human ninglakaw."
Nag-aaral din siya ng Intsik.,He is also studying Chinese.,Gatuon pud siya un Inintsik.
Gusto niyang kumanta ng mga lumang kanta.,He likes to sing old songs.,Gusto niya mukanta og mga karaang kanta.
Malapit na siyang gumaling.,He will soon recover.,Hapit na siya mamaayo.
Hayskul na estudyante siya.,He is a high school student.,Hayskul siya na estudyante.
Talagang di siya paparini.,He really won't come.,Tinuod nga dili siya muadto diri.
Nagsusulat siya ng mahabang liham.,He is writing a long letter.,Gasulat siya ug taas nga sulat.
Ano kaya kung pumunta sa sine?,How about going to the movies?,Unsa kaha kung moadto ug sinehan?
Gusto pa ninyo ng kape?,Do you still want coffee?,Gusto pa ba ninyo ug kape?
Magkano ang kailangan mo?,How much do you need?,Pila imong kinahanglan
Pinaalala ko siyang huwag magmaneho.,I reminded him not to drive.,Gipahinumdom nako kaniya nga dili siya magdrayb.
Maglalakad-lakad lang ako.,I'll just walk around.,Maglakaw-lakaw ra ko.
Di ko gustong pumarini.,I don't want to attend.,Di ko gusto ko nga moadto diri.
Di ko kita ang kaibahan.,I don't see the difference.,Di nako makita ang kalahian.
Balak kong pumaroon.,I intend to go.,Plano nako na moadto digto.
Hindi pa ako nakapunta sa Paris.,I have never been to Paris.,Wala pa ko kaadto og Paris.
Kailangan kong gumamit ng palikuran.,I need to use the toilet.,Kinahanglan nako mugamit ug banyo.
Alam ko kung saan siya nanggaling.,I know where he came from.,Kahibalo ko og asa siya gikan.
Gusto kong magbiyahe nang magsarili.,I like to travel alone.,Gusto ko mobiyahe nga mag inusa ra.
Gusto ko kung paano ka ngumingiti.,I like how you smile.,Gusto ko ug unsa ka mupahiyom.
Gusto ko mas ang dalandan kaysa sa mansanas.,I like oranges more than apples.,Mas gusto nako ang limonsito kay sa mansanas.
Gusto ko talaga makita si Tom.,I really want to see Tom.,Gusto gayud nako makita si Tom.
Kita kong may bulaklak sa ibabaw ng pupitre.,I see a flower on the desk.,Nakita nako nga dunay bulak sa ibabaw sa pupitre.
Palagay ko nagsisinungaling siya.,I think he is lying.,Paminaw nako nagapangatik siya.
Saan ang malapit na telepono?,Where is the nearest phone?,Asa ang duol nga telepono?
Bakit hindi ka gumamit ng pay phone?,Why don't you use a pay phone?,Nganonong di ka gagamit ug payphone?
Bakit gusto mong umalis ngayon?,Why do you want to leave now?,Nganong gusto nimo mulakaw karon?
Meron bang gusto pa ng kape?,Anyone want more coffee?,Naa bay gusto og kape?
Pakibukas mo nga ng pinto?,Would you please open the door?,Pakiabri ko sa pultahan palihog.
"Magsulat ng sanaysay tungkol sa ""Pagkakaibigan"".","Write an essay on ""Friendship"".","Paglsulat ug salaysay mahitungod sa ""Panagamigohay""."
Maaari mong imbitahin ang kahit na sinong gusto mo.,You can invite anyone you want.,Mamahimo nga imong imitaran ang masking kinsa nga gusto nimo.
Dapat magpahinga ka pagkatapos ng eksersays.,You should rest after exercise.,Kinahanglan nag mupahulay pagkahuman ug ehersisyo.
Makakalimutan mo rin ako balang araw.,You will also forget me one day.,Makalimtan ra ko nimo sa kadugayan.
Hindi ako ang dapat mong tanungin.,I'm not the one you should be asking.,Dili ako ang kinahaglan nimo nga pangutan-on.
Una ang pangalan mo sa listahan.,Your name is first on the list.,Una imong ngalan sa listahan.
Malakas ang hangin buong araw.,The wind was strong all day.,Kusog ang hangin sa tibuok adlaw.
Mga ilang libro meron ka?,How many books do you have?,Mga pila ka libro anaa ka?
Lahat ng halaman ay kailangan ang tubig at ilaw.,All plants need water and light.,Tanang tanum kinahangalan ang tubig ug adlaw.
Mahal na hobi ang astronomiya.,Astronomy is a dear hobby.,Mahal ang kalingawan nga astronomiya.
Marunong ka bang magbilang hanggang sampu sa Intsik?,Can you count to ten in Chinese?,Kabalo ba ka magihap hantud napulo sa Inintsik?
Mayroon ka bang reklamo?,Do you have a complaint?,Aduna ba kay reklamo?
Marunong ka bang magmahjong?,Do you know how to play mahjong?,Kahibalo ba ka magmahajong?
Nagiging mahal ang lahat.,Everything gets expensive.,Nahimong mahal ang tanan.
Palagi siyang humihiram ng pera sa akin.,He always borrows money from me.,Pirmi siya gahiram ug kwarta sa ako.
Tinanong niya kung gusto ko ang math.,He asked if I like math.,Gipangutana niya ug gusto nako ang math?
Nanakaw 'yong kotse niya kahapon.,You stole his car yesterday.,Nakawat iyan sakyanan gahapon.
Talagang gusto niya ang siyensiyang piksiyon.,He really likes science fiction.,Tinuod na gusto niya ang siyensiyang piksiyon.
Isang tasa pa ng kape?,Another cup of coffee?,Usa ka tasa sa kape?
Paano sinusulat ang apelyido mo?,How is your last name spelled?,Unsaon pagsulat sa imong apelyido?
Gaano kalayo ang sumusunod na estasyon ng gasolina?,How far is the next gas station?,Unsa kalayo ang sunod nga estasyon sa gasolina?
Ilang wika ang marunong ka?,How many languages ​​do you know?,Pila ka pinulongan kahibalo ka?
Sawa na akong kausapin siya.,I'm tired of talking to him.,Nagsawa na ko ug istorya niya.
Di ko na mainom ang serbesa.,I can't drink beer anymore.,Di na nako mainum ang serbesa.
Talagang hindi ako sumasang-ayon dito.,I really don't agree with this.,Tinuod nga dili ko mouyon.
Isip kong hindi nila naintindihan.,I think they didn't understand.,Hunahuna nako nga dili nila masabtan.
Ayaw kong kumain.,I don't want to eat.,Di ko gusto mukaon.
Di ko alam kung nasa akin pa.,I don't know if I still have it.,Wala ko kabalo kung naa sa akoa pa.
Natutuwa ako sa litrato.,I am happy with the photo.,Nalipay ko sa hulagway.
Araw-araw nagbubus akong papuntang eskuwela.,I go to school every day.,Matag adlaw gasakay ko ug bus padulong og skwelahan.
Nagpapalaki ako ng mga orkid sa grinhaws ko.,I grow orchids in my greenhouse.,Nagapadako ko og mga orkid sa
Sana'y hindi nila ako niloloko.,I hope they are not fooling me.,Unta wala ko nila gina atik.
Mga sampung talaba yata ang kinain niya.,I think he ate about ten oysters.,Murag mga napulo ka kinason ang iyan gikaon.
Akala ko tatay ni Mary si Tom.,I thought Tom was Mary's father.,Abi nako amahan ni Mary si Tom.
Gusto kong bumalik doon ngayong gabi.,I want to go back there tonight.,Gusto nako mubalik digto karong gabii.
Sabihin mo sa akin ang katotohanan.,tell me the truth,Sultihi ako sa kamatuoran.
Basta tatapusin ko itong trabaho.,I'll just finish this job.,Basta humanon ko ning trabahoa.
Di ko yun mahuhulaan.,I can't predict that.,Dili nako to matagnaan.
"Kung ako ikaw, mag-aaral ako nang mas mabuti.","If I were you, I would study harder.","Og ako sa imo, mas ayuhon nako akong pag skwela."
"Sa Inglatera, ang Labor Day ay ginaganap tuwing Mayo.","In England, Labor Day is celebrated every May.","Sa Inglatera, ang Adlaw sa Pagtrabaho ginaselebrar pag Mayo."
Mas mahirap ba ang Ingles kaysa sa Hapon?,Is English more difficult than Japanese?,Mas lisud ba ang Ingles kay sa Hapon?
"Kakain ba rito, o magteteyk-awt?","Will you eat here, or take out?",Mukaon ba diri o dal-on sa gawas?
Hindi kailangang maging ganito.,It doesn't have to be this way.,Dili kinahangaln na mahimong ingon ani.
Umiinit nang umiinit na.,It's getting hotter and hotter.,Gpainit ug taman.
Kumukulimlim na sa labas.,It's getting dark outside.,Gadag-um na sa gawas.
Mas komplikado kaysa sa iyan.,More complicated than that.,Mas komplikado kaysa ana.
"Kagabi, nakinig ako sa radyo.","Last night, I listened to the radio.","Kagabii, naminaw ko sa radyo."
Inom tayo o kung ano man.,Let's drink or something.,Inum ta o kung ang naa.
Galing Osaka ang lolo ko.,My grandfather is from Osaka.,Gikan og Osaka ang akoang lolo.
Naglalaro ng manika ang kapatid ko.,My brother is playing with a doll.,Nagadula og manika ang akong igsoon.
"Pawalang galang, po.","Disrespectful, yes.",Pasayloa ko.
Nakakasira ng ating Tiyera ang polusyon.,Pollution is ruining our Tea.,Makaguba ug Tiyera ang polusyon.
Tinanong niya kung ba't siya umiiyak.,He asked why she was crying.,Gipangutan kung ngano ninghilak siya.
May pusa siya. Puti ang pusa niya.,He has a cat. His cat is white.,Aduna siya'y iring. Puti ang kolor niya.
Kilalang-kilala niya ang nanay mo.,He knows your mother very well.,Kaila kaayo niya ang imong inahan.
Sabi niya'y gusto niya ng mga bulaklak.,He said he wanted flowers.,Ingon niya nga gusto miya ang mga bulak.
Nag-taxi siya papunta sa museo.,He took a taxi to the museum.,Sultihi salamin unsay imong nahibaloan bahin Tom.
Nagsulat siya ng libro tungkol sa ibon.,He wrote a book about birds.,Nagsulat siya ug libro mahitungod sa mga langgam.
Sabihin mo samin kung anong alam mo tungkol kay Tom.,Tell us what you know about Tom.,Ingna sa amo og unsa imong nahibal-an mahitugod kang Tom.
Nag-iisang nakatira ang matandang babae.,The old woman lives alone.,Nag inusa ra nga nagpuyo ang tiguwang nga babae.
Puno ang bote na ng tubig.,The water bottle is full.,Puno ang botelya og tubig.
Tumakbo 'yong bata nang nakita niya ako.,That boy ran when he saw me.,Ningdagan ang bata pagkakita niya sa akoa.
Malaki ang populasyon ng siyudad.,The city has a large population.,Dako ang populasyon sa siyudad.
Nililibot ng Buwan ang Tiyera.,The Moon goes around Tiyera.,Ginatuyok sa bulan ang Tiyera.
Kamakailan lamang pinaluwag ang mga alituntunin.,The rules have recently been relaxed.,Taud-taud lang giapluagan ang mga sundonon.
Tunay pala yung tsismis.,The rumor is true.,Tinuod diay tong hungihong.
Hindi makagupit iyong gunting.,Your scissors can't cut.,Dili maka putol katong gunting.
May mabigat na buwis sa tabako.,There is a heavy tax on tobacco.,Adunay daku nga buwis sa tabako.
Wala silang tsoys kundi umalis.,They have no choice but to leave.,Wala sila'y kapilian kundi ang muhawa.
Nagbebenta ng mga angkat sila sa tindahang iyon.,They sell imports in that store.,Nagabaligya sila ug inangkat sa kato nga tindahan.
Namatay si Tom nang may hawak na baril.,Tom died with a gun in his hand.,Namatay si Tom nga adunay gunit nga baril.
May rason si Tomas na magalit.,Tomas has a reason to be angry.,Adunay rason si Tomas masuko.
Kailangan ni Tomas ng oras para mag-isip.,Tomas needs time to think.,Kinahanglan ni Tomas ug oras para mag-huna huna.
Ang mga magulang ni Tom ay si John at Mary.,Tom's parents are John and Mary.,Ang mga ginikanan ni Tom kay si John ug Mary.
Dalawang pamilya ang nakatira sa bahay na iyon.,Two families live in that house.,Duha ka pamilya nag nakpuyo digto.
Nag-aalmusal kami sa loob ng gusali.,We had breakfast inside the building.,Nagapamahaw mi sa sulod sa katukuran.
Hindi ka imbitado sa party.,You are not invited to the party.,Dili ka imbitado sa parti.
Bakit mo sila pinaparusahan?,Why are you punishing them?,Ngano ginasilutan nimo sila?
Saan mo gagamitin ang perang 'to?,Where will you use the money?,Asa nimo gamiton kining kwartaha?
Nasaan na yung iba pang files?,Where are the other files?,Asa na tong uban pang mga papeles?
Nasaan na yung iba pang mga file?,Where are the other files?,Asa na tong uban pang mga papeles?
Anong klaseng musika ang gusto mo?,What kind of music do you like?,Unsa nga klase nga sonata imong gusto.
Ba't mo pininturahang pula ang bangkito?,Why did you paint the stool red?,Ngano imong ginapinturahan ug pula ang bagko.
Bakit di mo sabihin sa kanya nang diretso?,Why don't you tell him directly?,Nganong dili nimo siya istoryahon og diristo.
Di ka ba sasama sa aming pagdaldalan?,Won't you join our chatter?,Dila baka moapil sa among pagistoryahay?
Talagang maaga ka nitong umaga.,You are really early this morning.,Tinuod nga sayo ka karong buntaga.
Alam mong ayaw ko ng itlog.,You know I don't like eggs.,Kaba ka nga di ko og itlog.
Dapat huwag ka nang manigarilyo.,You should stop smoking.,Dapat dili na ka manigarilyo.
Mahuhuli ka sa eskuwela.,You will be late for school.,Maulahi ka sa skwelahan.
Magpatingin ka na sa doktor.,Go see a doctor.,Magpakonsulta ka sa mananambal.
Ang problema mo'y parang yung akin.,Your problem is like mine.,Ang imong problema susama sa akoa.
Ang relo mo'y nasa mesa.,Your watch is on the table.,Ang imong relo naa sa lamesa.
Ang relo mo'y nasa ibabaw ng mesa.,Your watch is on the table.,Ang relo nimo naa sa imabaw sa lamesa.
Tumutulog ang tsuper sa kotse.,The driver is sleeping in the car.,Nagatabang ang drayber sa sakyanan.
Naroon ang lahat ng mag-aaral.,All the students were there.,Naa didto ang tanang studyante.
Isip mo bang tulungan sila?,Do you want to help them?,Gihunahuna ba nimo na tabangan siya.
Malapit na ang taglagas.,Autumn is coming.,Hapit na ang taglagas.
Umasal kayo nang maayos habang wala ako.,Behave well in my absence.,Ayusa ang inyong pamatasan samatang wala ko.
Puwede bang magrolerskeyt sa parkeng ito?,Is it possible to skate in this park?,Mamahimo ba nga mag rolerskeyt kini nga parke.
Pakiabot nga ng asin?,Will you pass the salt?,Pakipasa gud sa asin?
Ang mga dolphin at balyena ay hindi mga uri ng isda.,Dolphins and whales are not types of fish.,Ang mga lumod ug iho kay dili mga klase sa isda.
Pinapasok siya ni tatay sa study.,Dad made him study.,Ginasulod siya ni papa sa pagtuon.
Umalis ka na bago makita ka nila dito.,Get out before they see you here.,Lakaw na usa ka nila makita diri.
Uminom ka na ba ng gamot?,Have you taken any medicine?,Nagtumar na ba ka ug tambal?
Wala siyang kinakain kundi prutas.,He eats nothing but fruit.,Wala siya'y laing ginakaon kundi prutas.
Binigay niya sa akin ang sulat at umalis.,He gave me the letter and left.,Gihatag niya sa ako ang sulat ug ninglakaw.
"Di pa siya umuwi, ano?","He hasn't come home yet, what?","Wala pa diya niuli, no?"
Ipinakilala niya sa akin ang anak niyang babae.,He introduced me to his daughter.,Gipaila-ila niya sa ako ang iyang anak nga babaye.
Kakakain lang niya ng sushi at uminom ng serbesa.,He just ate sushi and drank beer.,Bago ra siya nakakaon ug sushi ug miinum og serbesa.
Nakatira siya sa nayong katabi ng Osaka.,He lives in a village next to Osaka.,Nakapuyo siya sa siyudad tapad sa Osaka.
Nakatira siya sa isang baranggay malapit sa Osaka.,He lives in a village near Osaka.,Nakapuyo siya sa usa ka baranggay nga duol sa Osaka.
Nagkunyari siyang hindi nakikinig.,He pretended not to listen.,Nag atik atik siya nga wala naminaw.
Sabi niya'y alas nuwebe na.,He said it was nine o'clock.,Ingon niya na alas nuwebe na.
Mukhang nabigo siya sa kanyang anak.,He seems to have failed his son.,Murag dili siya malampuson sa iyang anak.
Wala siyang iniisip kung hindi sarili niya.,He thinks of nothing but himself.,Wala siya'y laing gihuna huna kundi iyang sarili lang.
Kilala ng maraming tao ang mukha niya.,Many people know his face.,Ilado sa mga tao iyang nawong.
Marapat ang imbensiyon niya ng atensiyon.,His invention deserves attention.,ako dili motuo nga ihatag kaninyo.
Paano mo nalaman itong mga bagay na ito?,How do you know these things?,Sa unsang pamaagi nimo nahibal-an kining mga butanga.
Hindi ako makapaniwala na sumusuko ka na.,I can't believe you're giving up.,Dili ko makatoo nga moundang na ka.
Wala akong magawa kung hindi sundin siya.,I can't do anything but follow him.,Wala koy mabuhat kundi ang sundon siya.
"Sa memorya ko, hindi niya sinabi ang ganoon.","To my memory, he never said that.","Sa akong nahinumdoman, wala niya gisulyi ang ingato."
Hindi ko matandaan kung kaanong kataas siya.,I don't remember how tall he was.,Diili nako mahinumdoman kung unsa kataas siya.
"Kung minsan, hindi ko siya maintindihan.","Sometimes, I don't understand him.","Usahay, dili nako siya masabtan."
Mas gusto ko ang tag-lamig kaysa sa tag-init.,I prefer winter to summer.,Mas gusto nako ang ting-tugnaw kaysa ting-init.
Mas malaki ang pagmamahal ko sa'yo kaysa sa pagmamahal mo sa akin.,I love you more than you love me.,Mas dako ang akong higuma sa imo kaysa sa paghigugma nimo sa ako.
Baka lumabas ako kung tumila na ang ulan.,I might go out if the rain stops.,Basig mugawas ko og moundang ang ulan.
Isip kong talagang mabait na tao ka.,I think you are a really nice person.,Huna huna gayud nako nga buotan ka nga tawo.
Lumaki akong nakain ng pagkaing Meksikano.,I grew up eating Mexican food.,Nagdako ko nga gakaon ug pagkaon sa Meksikano.
Na-bakunahan ako laban sa trangkaso.,I have been vaccinated against the flu.,Nabakunahan ko kontra sa trangkaso.
Di ako pupunta sa paaralan bukas.,I won't go to school tomorrow.,Dili ko moadto sa eskwelahan ugma.
Pupunta ako sa Tsina sa susunod na linggo.,I'm going to China next week.,Paadto ko sa Tsina sa sunod na Dominggo.
Hinahanap ko ang aking bolpen.,I'm looking for my pen.,Mayo golpkors duol dinhi?
Iniba ko ang ley-awt ng websayt ko.,I changed the layout of my website.,Gilahi nako ang itsura sa akong websayt.
May golpkors bang malapit dito?,Is there a golf course near here?,Aduna bay golpkors dinhing dapita?
May supermarket bang malapit dito?,Is there a supermarket near here?,Aduna ba palengke nga duol diri?
Unang beses mo ba ito sa Hapon?,Is this your first time in Japan?,Unang beses ba nimo ni sa Japan?
Imposibleng gawin kong ganoon.,It's impossible for me to do that.,Imposiblen buhaton nako ang ingon ato.
Parang meron na tayo ng lahat.,We seem to have everything.,Murag naa na sa atoa ang tanan.
Sa tingin ko ay matapat siya.,I think he is honest.,Sa akong panan-aw kay masaligan siya.
Ipaalam mo sa akin kung saan ka mananatili.,Let me know where you will be staying.,Ipahibalo sa akoa kung asa ka mag-istambay.
Tingnan natin kung anong mangyayari.,Let's see what happens.,Tan-awon nato og unsay mahitabo.
Nilagay ni Maria ang buslo sa ibabaw ng mesa.,Maria put the bag on the table.,Gibutang ni Maria ang sibot sa imabaw sa lamesa.
Puwede ba kitang makausap sandali?,Can I talk to you for a moment?,Puwede ba tika maistorya kadali.
Libangan kong mangolekta ng lumang barya.,My hobby is collecting old coins.,kalingawan nako ang mangolekta ug karaang sinsilyo.
Wala namang nagsasabing hindi ka pwedeng mangisda.,Nobody says you can't fish.,Wala mat naga ingon nga dili ka pwede mangisda.
Hindi lahat ng mga tauhan ay dumalo.,Not all staff attended.,Dila tanang tawo ningtambong.
Ay naku! Nauubusan tayo ng gasolina.,Oh my! We're running out of gas.,Ay sus! Nahutdan ta og gasolina.
Ay naku! Nauubusan kami ng gasolina.,Oh my! We're running out of gas.,Ay sus! Nahutdan mi og gasolina.
Pakibili mo nga ako ng bagong kompakdisk ni Shakira.,Please buy me a new Shakira CD.,Paliti gud ko og bag-ong kompakdisk ni Shakira.
Punta naman kayo sa bayan namin minsan.,Come to our town sometime.,Adto pud mo sa among lugar usahay.
Pinaalala niyang huwag niyang gawin.,He reminded her not to do it.,Gipahinumdom niya nga nga dili niya buhaton.
Hindi na siya ngumingiti para sa akin.,He no longer smiles for me.,Dili na siya na siya mungisi nako.
Pinospon niya ang biyahe niya sa Meksiko.,He sponsored his trip to Mexico.,Gilangan niya ang iyang biyhae padulong og Meksiko.
Humahabol ang ilang tao ng kagalakan lamang.,Some people pursue only joy.,Nagagukod ang pipila ka mga tawo sa kalipay lang.
May nangyari sa kotse ko.,Something happened to my car.,Naay nahitabo sa akong kotse.
Nakakatuwa ang pagsasalita ng Ingles.,Speaking English is fun.,Makatawa ang iyang pag istorya og Iningles.
Ang tagumpay ay depende sa ginagawa mo.,Success depends on what you do.,Ang kalampusan nagadepende sa imong bulohatan.
Pakisabi sa akin kung kailan ninyo gustong mag-order.,Please tell me when you would like to order.,Sultihi ko og kanus-a ninyo gusto mag kuha.
Maglalayag ang eroplano sa ika-5.,The plane leaves on the 5th.,Molupad ang eroplano sa ala 5.
Iyon ang pinakamagaling na araw sa buhay ko.,That was the best day of my life.,Kato ang pinakamaayo ang adlaw sa akong kinabuhi.
Aksaya iyon ng oras at pera.,That's a waste of time and money.,Kalas to sa oras og kwarta.
