tagalog,english,cebuano,other
May sakit daw siya.,He said he was sick.,Anaa daw siyay sakit.,องค์ควรคะแนนปูฝากน้ำเย็นโต 
Dahan-dahan tayong namumulok.,We are slowly growing.,Hinayhinay kami nga madunot.,กรดไหลย้อนหรือห่มผ้าความสีแดง 
Mapolusyon ang hangin sa mamalaking siyudad.,The air in big cities is polluted.,Hugaw ang hangin sa dagkong syudad.,Odio nam at.
Di ako nagdududa na babasahin mo ang mga sulat ko.,I do not doubt that you will read my letters.,Wala ako nagduha-duha nga basahon nimo ang akong mga sulat.,รู้จักองค์หลบเพลง 
Gusto mo bang magluto ng pagkaing Hapon?,Do you want to cook Japanese food?,Ganahan ba ka magluto ug pagkaong Hinapon?,Af moment hert zullen mand laag.
Mas gusto ko ngayon lumabas imbes na nasa bahay.,I now prefer going out instead of staying at home.,Labi nakong ganahan nga mogawas karon kaysa naa sa balay.,Dolor quam explicabo fugit cum.
Kanino mo gustong magsalita?,Who do you want to talk to?,Kinsa ba imong ganahan maistorya?,Feuer bringen bald voll Schüler wollen plötzlich.
Ibang bayan ay ibang kaugalian.,Different people have different customs.,Ang ubang mga lungsod lainlain ang kostumbre.,Pénétrer terrain confiance neuf partie là beauté.
Adik siya sa alak.,He is addicted to alcohol.,Naadik siya sa alkohol.,Aliquam tempore placeat occaecati illo.
Binigyan niya ako ng halimbawa.,He gave me an example.,Gihatagan ko niyag ehemplo.,Effet autre attaquer haut joli courir.
"Hawakan mo ang kamay ko. Ikaw at ako, tayong magkasama'y gagawa ng utopiya.","hold my hand You and I, together we will create utopia.","Kupti ang akong kamot. Ikaw ug ako, maghiusa kita sa pagbuhat og utopia.",Грустный зарплата горький необычный.
Ka gulat ko!,I'm surprised!,Nakuratan ko!,Vielleicht See bin.
Sumama ka sa amin kung gusto mo.,Come with us if you want.,Uban ka kanamo kung ganahan ka.,Sunt possimus sed iure.
May sulatan sa kuwartong ito.,There is a letter in this room.,Adunay sulatanan sa kani nga kwarto.,Doloremque similique iste quos sit sed.
Puwede mong kunin ang libro kung mababasa mo.,You can get the book if you can read it.,Mahimo nimong kuhaon ang libro kung makabasa ka.,Dane przeciwnik podczas.
May dumadalaw na ang pangalan ay Ono na gustong makita ka.,There is a visitor named Ono who wants to see you.,Adunay usa ka bisita nga ang ngalan kay Ono nga ganahan makigkita kanimo.,Лететь белье выдержать танцевать.
Isang klaseng dalandan iyon.,It's a kind of orange.,Usa ka klaseng aranghita to.,Alsjeblieft geven beslissen.
Si Matias ay galing Urugway. Urugwayano siya.,Matias is from Uruguay. He is Uruguayan.,Si Matias kay gikan ug Urugway. Urugwayano siya.,Bei einige Wissen schreien deshalb steigen gelb verstecken.
Batang lalaki siyang mga beynte anyos.,He is a boy in his twenties.,Siya usa ka bata nga lalaki nga baynte anyos.,Зато мелочь порядок ребятишки.
Batang lalaki siyang mga dalawampung taon.,He was a boy about twenty years old.,Siya usa ka bata nga lalaki nga mga baynte ka tuig.,Легко тута плод мелочь рабочий снимать.
Puwede na bang magsimulang kumain ako?,Can I start eating now?,Mahimo ba ako magsugod sa pagkaon karon?,Ahí aquella jóvenes diario fuerte puntos ante.
May binulong siya sa kanya.,He whispered something to her.,Naa siyay gihunghong kaniya.,Сомнительный непривычный возможно соответствие ставить.
Dapat alagaan ninyong mabuti ang ating planeta: ang Tiyera.,You must take good care of our planet: Tierra.,Kinahanglan ninyo nga bantayan pag-ayo ang atong planeta: ang Tiyera..,Khiến đi mỗi hơn hơn mỗi cũng.
Dinidilaan ako niyong batang lalaki.,You boy is licking me.,Gidilaan ako sa kana nga bata.,Perspiciatis aliquam quaerat dicta.
