document,topic_id
when do we eat i'm hungry!,3
we might see bird nests.,-1
i can see the tower in my house.,35
"beware of kidnappers, ken.",0
i want to study in paris.,34
he lived alone in a hut.,-1
he and only he knows the whole truth.,-1
"because the universe is really vast, you are really small.",-1
"soul, he told me.",13
"gladly, he told me.",13
there are different forms of government.,7
they are getting skinny waiting for the war.,-1
our cow does not give us milk.,-1
"it's nine o'clock, he said.",-1
why are you shouting,2
grape dye is my favorite.,20
he worries about his friend.,4
he worshiped his friend.,13
why are you trying to run?,39
have you ever eaten raw fish?,-1
the ship will stop at yokohama.,-1
has playt 123 arrived yet?,2
my aunt grows tomatoes in her garden.,-1
lack of fuel.,17
someone speaks portuguese.,48
have you been to france?,2
"more coffee? ""no, it's okay.""",24
i want to learn to play the banjo.,25
how does the internet influence human memory?,36
all the milk was spilled.,24
that's not blood. that's betabel.,-1
i fell asleep in class.,15
goro is good at english.,49
tomas was lucky.,1
how was your french class?,15
something is better than nothing.,-1
"no... yes, by the way.",-1
someone opened the door.,30
what's on the desk?,32
do you think he's gay?,-1
he's really bad because he's wearing no fashion.,9
do you think he is not gay?,-1
physical education class is mandatory for everyone.,15
he is what we call a diamond boy.,55
you can't ride a horse.,-1
tell me when to stop.,-1
i remember 1976.,-1
i remember 1976.,-1
i remember 1976.,-1
i tasted his book.,6
it was there.,-1
he wonders at her stupidity.,4
"because she's afraid of technology, she's like a real girl.",-1
i want to travel alone.,73
what is your favorite harry potter book?,6
a turkey is slightly larger than a chicken.,53
no one can know everything.,-1
the port is closed to sailing.,-1
religion is not important to him and he does not believe.,60
religion is just entertainment for the masses.,60
religion is art.,60
the picnic was cut short due to rain.,-1
jupiter is said to be haunted by various forms and shadows.,16
never lived and always dead.,64
"some argue that the plural suffix -j in esperanto is influenced by greek, or ancient greek.",-1
"he wanted to memorize the entire lojban dictionary, but he knew a few words would be enough.",-1
is it edible?,3
he was born and raised in tokyo.,14
we gave the car a push.,5
your zipper is open!,30
why didn't you say earlier?,-1
"people are not good, ebyang said. he is right.",9
there are more bags in the world.,17
the reality looks different from the future we have waited for.,-1
"even if there are predictions in scientific history, we are not flying on a rocket on a wing, nor are we vacationing on the moon, nor are we eating like a pill, and we are not enjoying the luxury of doing nothing while robots are creating a wealth society.",-1
"in the 50s and 60s of the 20th century, the mind about the future of the world was more optimistic than today.",28
he wanted to die and swim out of the river.,-1
i don't call you stupid even if you seem to be more stupid.,-1
i think you are more stupid this morning.,42
study what you want and don't be jealous.,-1
we went for lunch.,-1
you got married and you are not happy anymore.,-1
have you ever seen blue popcorn?,53
the air warmed up.,50
he must be angry.,4
nara is a calm and beautiful village.,-1
i often have terrible nightmares.,31
i think the ancient war has gone on long enough. more fully said: too long.,-1
who is your teacher,-1
juan is at the airport.,-1
stormed the city and damaged it thoroughly.,-1
"crows like tokyo because it's warmer in the city than in the suburbs, and it's lit up at night.",14
this mountainous landscape is really beautiful.,46
"only a few studied that art, and he was one of them.",-1
"borrow your book, please.",6
what's your favorite seasoning?,-1
he should study epistemology and ontology.,-1
"until there is reason or evidence, we don't know if what he says is true.",9
is that true? where did your information come from?,-1
did he really reveal all 2136 kanji logograms?,65
there are cherry blossoms on every side of that street.,27
my house is next to the station.,18
what kind of book do you wish you had?,6
are you afraid to die?,56
where can i buy books?,6
"now, he says that's not love.",-1
"now, he says that's not love.",-1
how long have you been studying english?,49
your skirt is already loose.,-1
i see a rare flower in the vase.,27
your mind is closed if you don't use your imagination.,-1
"reality is not enough for most; so, they need imagination.",-1
there is a storm in a glass of water.,-1
will you give kate the flower?,27
he is an arrogant boy who thinks to himself that he is better than everyone else.,-1
i studied tennis with my brother.,75
he is fluent in english.,49
"do you prefer the apple, or the pear?",20
westerners wait for christmas.,7
"in japan, christmas is like the festival of san balentino.",7
"in japan, december 25th is like february 14th.",14
"at times, tatoeba is like eliza, the psychiatric computer.",-1
"if you want to talk, talk!",-1
your religion is your language.,60
can i borrow your pink pen?,27
they don't understand what you write.,10
windy.,-1
do you want to have dinner together at the weekend?,-1
call me if you want.,26
"you are desperate; if you really like interlingua, study it.",-1
ugly spelling is no better.,-1
ugly spelling can't do math.,-1
you're confused!,7
you are dumb!,7
you fool!,7
you are stupid!,7
you sweat!,7
you are sad because it is christmas.,31
my grandfather takes medicine every day.,8
is ekmek food greek or turkish?,3
i will learn to love this bitter life.,-1
i had to clear my doubts about that.,31
someone in a truck almost died from the cold on the street.,-1
you guys have been lazy!,7
what are you doing there? just hanging around?,2
you don't want to use your head.,57
your head feels like lukewarm soup.,3
you have practiced as if you are always bored in life.,-1
you always smoke weed.,-1
there are many addicts in the world today.,-1
you are really sad.,31
your cultures seem insignificant.,-1
"you are always being ordered, so you think like that.",-1
that's a maid's mind.,53
they sleep all night long.,-1
they are afraid of shadows and shadows at night.,-1
they believe in night visions.,82
do they believe in harvesters?,-1
it is said that it is better to eat the rectum of the coconut.,20
he is lingming.,-1
the mind is confused.,31
he said that the clay was really good for him.,12
"at night, the trees sway and there are bats in the sky.",22
his skin was rough because of the people he worked with outside.,4
my name is ludwig.,-1
the man was afraid.,56
are you listening to me,2
i have no more than ten books.,6
i'm out all day.,8
my little cat has been missing for a week.,5
never touch this bottle again!,-1
i go to school.,-1
i brought his umbrella by mistake.,-1
she makes her own clothes.,-1
he was the last person to lie.,-1
i should go out.,-1
i will show you the place where people can still breathe.,-1
do you have something to hide?,-1
it's time for you to sleep.,23
you have a headache.,31
whatever happened has happened.,-1
your language is tiring.,-1
you always take things too seriously.,-1
do you have something to report?,2
you need vitamins to keep your mind healthy.,-1
"today, the sky is overcast.",22
the problem with your mind may be a matter of physics.,-1
you're really out of your mind.,-1
i'm not afraid of you.,-1
better see a specialist.,54
you get dizzy reading your language.,-1
"in fact, they lived here all winter.",46
you are talking about people and human relationships.,44
you think your life is short because you look like an american.,-1
"in the sky, there are so many stars that i can't count them all.",22
do you remember this game?,-1
the war is only in your mind.,82
don't draw your life in anticipation of war.,47
he has a bush full of strawberries.,20
the true nature of the planet alpha centauri bb is still mysterious.,16
the planet alpha centauri bb is 4.37 light-years from our earth.,16
"if we use our technology today, it will take 40 000 years to reach the planet alpha centauri bb.",16
"we live in a society, not just an economy.",-1
have you ever played baseball?,75
makes a mess nearby.,-1
the location of ken's notorious dog is unknown to him.,9
it is necessary to use the dictionary.,-1
tom is a vampire.,1
the cat seems to need the water.,5
long time no see!,-1
why do you always see tom?,1
the tea is hot.,24
the tea was so hot that i couldn't drink it.,24
that's why i'm here.,-1
he was disfigured.,4
i will tell you a story.,-1
he told me where to shop.,-1
it rained all day yesterday.,50
come now!,7
he smiled broadly at us.,13
he drank straight from the bottle.,51
i study hard.,-1
is that okay?,2
don't speak too fast.,-1
language is the paint of our ideas.,-1
you want to learn that language for fantasy.,-1
tomas wants coffee.,24
you are confusing jane and her sister.,6
i went to the same school as kenji.,14
there is a secret path in my mind to my youth.,-1
every new language is like a game.,-1
"alpha centauri has three stars. they are a, b, and c.",16
"the word ""planet"" comes from the ancient greek for ""wanderer.""",16
i know you're smart.,0
you need a haircut.,-1
you know that's wrong.,42
do you see the book?,6
you have to work hard.,59
i can't eat raw eggs; must be cooked.,3
the baby is not crying anymore.,-1
"he's a smart kid, really.",55
we swam in the sea.,0
"what, this is the nata de coco that everyone is talking about.",-1
there is a strike.,0
what time does this train arrive in yokohama?,18
tomas chose to live in boston.,1
he often practices playing the piano.,25
i went to the supermarket.,17
chopped down the trees? not all? next to the road.,29
used by many people.,-1
it's aquarius season.,22
will you come with me to the river?,2
i'm a little lost in the jungle.,-1
"we have four rabbits, and one of them bites.",29
"the iron, pot, and heater should not be lit at the same time.",-1
we spent the night at the mountain hut.,-1
he went to the store.,-1
these vegetables take a long time to cook.,20
"it's noon, so turn off the television.",72
what he said is not important.,-1
"please tell me again, yes.",0
whether he succeeds or not depends on his health.,-1
next to the table is only one chair.,41
i will accompany you.,0
he shaved his armpits.,4
breathing alone is not sustenance.,47
she had long hair last year.,21
does your brother live there?,76
the sun is shining brightly.,22
the bees buzz around them.,30
this is not possible.,10
really many people know him.,-1
he was knee deep in snow.,46
the force of the wind!,7
get a cake if you want.,74
easy parking in the park.,-1
he traveled to europe.,71
there is nothing there.,-1
he plays the guitar well.,25
it's rare.,0
what is the name of this flower?,27
you are afraid of science because you look like a girl.,56
who is really poorer among us?,-1
what happened and you're thinking about money?,-1
smile.,0
i'm usually in bed by nine o'clock.,23
good afternoon,-1
"it's fine, thank you.",67
what is your name,2
my name is jack.,40
where are you from,2
nice to meet you.,0
nothing.,19
english is fun.,49
"good, and you?",2
how are you,2
shall we have popcorn?,3
opinion is that thing that i will reason why all the world should think my thinking.,-1
we will meet again tomorrow.,-1
don't talk about such things.,-1
this is a photo of the airport.,-1
"you're talking nonsense, my friend.",42
"they look like women too, don't they?",21
you know i'm an expert and you're crazy.,0
i do radio after dinner.,-1
he is a kind person.,13
"cheers to speech, indeed.",0
the story passed from person to person came to life.,-1
all they want is women's talk.,-1
"they really do look like girls, don't they?",21
you seem to be from the countryside.,-1
some are tired.,-1
it has become a foreign newspaper.,-1
nope.,-1
i'm looking for my own truth.,-1
stracciatella ice cream is nothing but ordinary ice cream with chocolate chunks.,-1
have a good day mr. brown.,-1
"get some sleep, okay?",23
i didn't see him.,-1
you are always afraid because you look like a girl.,56
the students are mostly women.,15
what is it like you don't have a family anymore?,-1
you are arrogant because you seem to be trampled on every day.,-1
you thought i was a human being.,-1
speak english because you really know how.,49
"you speak english really well. go ahead, speak english!",49
you cried because you didn't congratulate.,10
congratulate yourself so you don't cry like that anymore.,-1
can i have a paper bag?,32
even your religion is female!,60
what color cake do you want?,-1
tomas poured himself a drink.,51
is this a new car?,5
i can change.,0
i don't want you to change.,58
i can change.,0
i don't want to change you.,58
could you turn off the light?,-1
in the plain rises the mountain.,46
"which is your book, this or that?",6
kay respects everyone but herself.,-1
some boats are sailing on the lake.,33
which is taro's?,-1
"in the past, the theater was open on saturdays as well.",-1
how long are you in kyoto?,14
you are thirsty.,51
he came to pick me up.,37
we will take you to the island's airport.,-1
i am not your enemy.,58
your head is broken because everything is just work.,-1
you get used to crying every day because you don't have sex.,-1
your mind and heart are dark.,-1
you are afraid of the cat because it is quiet and seems to be smarter.,56
he does not believe that someone has reached the moon.,9
they lied that they had reached the moon.,-1
he gave his life for his country.,12
cats peed on them.,5
he cut the cord by two meters.,18
do you have money with you?,-1
you really have no sexual activity because you are still crying.,-1
you are the most feminine of us.,-1
"is ""arrogant"" better?",7
your thoughts are really western.,-1
here's my secret.,0
it is very simple: only through the heart can one see well.,-1
the heart of things cannot be seen with the eyes.,79
tony undressed and cleaned his shirt on the piano.,25
"unwrap, please.",-1
he lives alone in the forest.,-1
can i play after reading this book?,6
i don't understand you.,-1
my parents don't speak english.,43
there is a restaurant here that i often eat at.,-1
is there a dish in your meal?,3
he is a reliable person.,-1
isn't it clear?,39
let's fly kites.,33
who lives in that house?,35
"you're friends with tomas, aren't you?",1
"how do you say ""apple"" in your language?",-1
reading a book is fun.,6
the meat is grilled.,-1
"do you prefer meat, or fish?",-1
i bought a picasso.,-1
andorra is a small principality between spain and france.,77
would you like a cup of milk?,24
i didn't mean to.,-1
we always have a party for his birthday.,66
you always cried.,31
why?,39
"you need the brain doctor, right?",54
your problem is not only about sex.,-1
you thought you were too old.,-1
you are boring because you lack fantasies.,-1
why do you want to discuss religion?,60
don't believe in religions anymore.,60
i want you to say what you think.,-1
let's drive to the sea.,33
"religion is an art, not a science.",60
you women know what they are doing.,-1
your language is sick.,-1
come back here running.,0
eat whatever you want.,3
there are many tricks in the library.,6
where did that happen?,-1
he promised to look after it for himself.,-1
this is my secret.,0
really simple: no one sees good except in the heart.,-1
the most important thing is invisible to the eye.,79
peace of mind is obtained by not relying.,9
i don't have a car.,19
i don't have a car.,19
your thoughts are really western. it's like a prison.,-1
your country is becoming a woman.,21
my interlocutor here is purely female.,21
it was 1994 that i knew people on the internet were crazy.,36
my father will be happier if i become a professor.,38
there is nothing like eating chocolate in the morning; gives me a good feeling all day.,74
he studied economics at university.,-1
i drink the soup straight from the bowl. japan is like that.,3
this fresh raw fish is delicious.,53
happiness cannot be bought.,-1
the tin box is empty.,-1
he bravely lived on his own in the desert.,-1
let's hope he works.,13
you thought you were a nigger.,-1
you have the mind of a slave. you look like a nigger.,-1
it's like you're dead because you don't want to work anymore.,64
"you are afraid of your god, so you are nervous.",56
you really have become a nigger.,-1
maria became pregnant at the age of 14 years.,28
quebec's french speakers are over seven million.,34
i caught five fish yesterday.,-1
"better yet, ask dr. tanaka.",-1
how many players are needed for rugby mats?,-1
i like castles.,-1
don't talk about my family anymore.,-1
you love east asiatic letter logograms.,-1
his mind seemed to be spinning as he studied asiatic writing.,-1
"it's like you don't have a family, so you're talking about my family.",43
i'm not sure if the cake really thickens.,74
"because the stars are just like sand, the woman is afraid of astronomy.",22
"tiyera was just like a speck of sand, so the woman cried.",-1
the woman does not know that the universe is really vast and she is really small there.,-1
science is not fantasy.,-1
what is that it's like you're being strangled.,-1
because i too get hit by this line.,0
i have forgotten what i learned.,52
he should not walk on this rock.,-1
he's really funny.,13
"yes, this thread is interesting when it's wet.",-1
"for i, since marriage, have never met a man like you.",-1
you are afraid because of your idols.,56
you seem very old.,-1
you should have kept that a secret.,0
"i am too old and sad to play, said the boy.",-1
you thought you were a girl because you were a bag.,17
"if the person is old, he can still be circumcised.",-1
it is also important for a woman if her man is circumcised.,-1
i can't be sure if he will be here tomorrow.,-1
he photographed the koala.,12
a hamster running on a non-stop spinning wheel.,1
what is the most common language in peru?,-1
son of a bitch!,7
it's not the fault of the truth that the crooks say it.,-1
let's start.,0
everyone got up and started dancing.,-1
they are afraid that the yellow leaves will fall on their street.,29
the german was scared because his beer was yellow.,-1
he was afraid because his tribe was different.,-1
"his tribe looked different, so he was scared.",-1
are you hungry you are talking about dining.,3
go out and eat at a restaurant.,-1
they don't have a car.,19
cloudy.,22
come here to enjoy the sunshine.,22
maria is interested in politics.,11
the curtains fluttered in the wind.,30
the wind raised the sail.,50
"not only does that sound like an insult, but a woman's ""projection"" from her own mind.",-1
"sometimes, the woman uses objects placed according to the ""projection"" of her mind for communication.",-1
"you should be sensitive that what different people say is just a ""projection"" of whatever is happening in their own lives.",-1
some believe that there is a part of the brain that is responsible for insults and that it is more active in other people.,-1
it is a disease and sometimes endemic to the entire race.,-1
araw is really far from tiyera.,-1
does he go to school?,-1
"sorry, but i can't stay long.",-1
racism is your hard work.,-1
they did not understand what they were watching.,-1
everything in the universe speaks; there is nothing that does not have its own language.,-1
you want to know my secret? really simple...,-1
i'll get some ice.,24
learning is the student's job.,15
"what is that ""that's a persimmon.""",-1
"when they look at the forest, they don't see the trees.",9
you are definitely a woman because you are always depressed in your life.,21
mix the rice with egg and soy sauce.,3
those animals are found in the northern hemisphere.,29
he has knowledge of music.,25
can i do that?,2
can we meet now?,2
look at the boy you are swimming with.,-1
do you think fish can hear?,-1
let's bounce!,7
tajima... can't you speak a little more refined?,-1
his house is across the river.,35
ok i agree.,0
not all gold can be bought.,-1
"you are not very scientific, but very religious.",60
you are not children anymore.,-1
did they write a letter?,-1
do you have a computer,36
why did he come home early?,-1
where is hakata station?,-1
life is a great mystery.,82
the writer is working on his new book.,6
can you hold on a little longer?,-1
who am i and who are you?,2
the cane is sticky.,32
leaves and trees fall.,29
"yes, please.",0
the flower is not black.,27
"oh, please.",0
join us.,0
the train is coming.,18
i'm not as tall as him.,-1
come back and see you tomorrow.,-1
a man's delirium is foolish to call it.,9
the delirium of a thousand people is religion so to speak.,60
i don't remember who i gave it to.,-1
"give me some bread, please.",3
i drink salabat at half past one in the morning.,51
many kinds of puto are ready on the table.,41
i'm not sure what i was thinking.,-1
who are you calling now?,26
suddenly the beautiful color of the sky faded.,22
europe is unaware.,71
there is no drug in europe.,71
there is no duhat in europe.,71
i must reply to this letter.,0
he's shy.,4
reflect the light in the water.,-1
he will have dinner with us.,-1
"he watched the orchard grow, and he watched the apples turn red and ripen.",20
take the key to his car.,5
he is good at lying.,13
who's that?,2
what kind of records do you keep for your youth?,-1
he speaks innocently happily.,13
old age is no protection against stupidity.,-1
do you have time tomorrow?,8
i need more sheets.,32
tomas can't find anyone to dance with.,1
i like something about you.,0
he is a good politician and a good student.,-1
i want tom to know the truth.,-1
you should avoid people who are not good for you.,-1
i am korean.,14
i am a vegetarian.,3
i can't sleep.,-1
mary suddenly entered the kitchen.,11
the rain came back and forth.,50
"every time he ran away, he came back here.",-1
you will go far.,-1
why did he do that?,-1
i was away from home all day.,8
i believe in god.,-1
"later, the mischievous man was also jailed.",-1
take the child to the forest.,29
i don't want to see him anymore.,-1
kill him and bring me his lungs and liver as evidence.,-1
he was angry with me.,4
the pain is gone.,-1
mary is beautiful.,11
i think they will be late.,-1
let's polish the furniture.,-1
it should be changed.,0
we fished in the lake.,0
can we put a table on the terrace?,41
it's still shallow.,0
i can still step on the bottom.,0
this beach is shallow.,33
"yotsuba, you're still hitting bottom, aren't you?",-1
tom had expected this to happen.,1
you two are perfect!,7
what you said was not good.,-1
"fix it, fred.",46
i'm not kidding.,70
the man impresses the woman with magic.,12
i don't like eggs.,3
really disgusting.,-1
help me carry this package.,-1
where did you cook those?,-1
this plan must be executed.,-1
i have to leave early to catch the train.,18
you are big.,-1
"my mother told me that if i masturbated, i would go blind.",9
they were very tired because they had been working for two days straight.,-1
let's postpone dinner.,3
i walked about a mile.,78
"you say ""ditto"", but that's not the same as ""i love you"".",-1
i'm not made of money.,-1
don't judge people based on their appearance.,47
"i realized that beauty is like a mountain top; once you reach it, there's nothing else to do but go down again.",-1
he blushed in embarrassment.,4
he broke my trust.,4
i'm glad to see you!,0
i don't feel like working today; can we just watch a movie?,-1
mary became a typist.,11
"who flies better, a fly or a pilot?",-1
i agree with your point of view.,-1
why can't they be happy?,-1
he is different than i thought.,4
it will take you two hours by car to reach my uncle from here.,5
we have to study hard.,-1
it's almost dinner time.,3
you didn't tell me to buy bread.,3
do you want to go,-1
i'm going to sleep!,7
why are tom and mary always in tatoeba?,11
my mother is cooking breakfast.,3
happy fourth of july!,7
working is not only a necessity but a pleasure.,-1
he will be back tomorrow.,-1
sometimes he pretends not to care about what is happening around him.,-1
i stole it from tom.,1
his brief rest was cut short when he arrived.,-1
happy birthday to your husband!,66
is he satisfied?,-1
there it is again!,7
my daughter has an imaginary friend.,44
no one is doing anything yet.,-1
i think he is hiding something from me.,-1
it hurts to speak but he is in a good mood.,4
that seems unbelievable.,-1
my sister has long legs.,-1
the air in our city is not dirty.,-1
tom doesn't eat meat.,1
he showed her the picture.,12
he returned before eight o'clock.,-1
i want us to start over.,0
he tried to contact mary.,11
his wish is to become a physician.,54
"inside the closet, there's...i won't say what's inside the closet.",-1
your secret will remain.,-1
you don't like love stories.,-1
they are not afraid.,70
hand me my towel.,0
my cat likes my keyboard.,32
i'm thankful for the vacation.,-1
let's try.,0
is there no tax in this store?,-1
the war ended in victory for the allied powers.,69
i don't want to lie down.,58
his boss will kill him.,-1
how many referees are there in a soccer game?,-1
tom was sent here to take over.,1
good morning will i get ready?,8
he's so cute!,7
please fill it out.,-1
the steering wheel of american cars is on the left.,5
this is what saved me.,-1
you can't count on him.,-1
don't spend more than you earn.,-1
he is a very good musician.,25
"his mother died when he was young, and his grandmother raised him.",-1
how deep is the lake?,78
how many plums are there?,-1
arrogant people think they are superior to others.,-1
let's get this over with.,0
the train is coming!,18
show me!,7
tom can really complain.,1
that event made him famous.,-1
a dog was run over by a truck.,5
is tom suggesting that?,1
urdu is our native language.,63
follow me into the room.,-1
i feel strange.,31
there is good and bad in everything.,-1
how can i stop him?,-1
"no matter the age, a child is a child.",28
it doesn't work.,-1
he has accomplished his goal.,12
the firefighters' ball is still revered in all celebrations held every july 14th in france.,-1
"porn is rated x; that is, the only people who can watch it are people aged 18 and over.",28
"this morning, i broke the one i was using while playing ball in the bedroom.",75
you can't get out of here.,10
he was injured in the battle.,4
tom doesn't fail easily.,1
mr. bark is the problem. his secretary is not here today.,-1
i have a thought.,-1
"meanwhile, cut the bread into cubes and fry them in hot oil.",3
we joined the conversation.,0
they love each other.,-1
does he have a girlfriend?,-1
dad fixed the car.,5
the missing child was found within two days.,-1
i need to get my oboe fixed.,25
i don't understand anything.,-1
maybe the box is the right size for all these books.,6
don't fool me.,58
many believe that he does not know how to listen to advice.,9
confirm the order.,0
thank you for your answer.,67
the manager gave him a trophy.,12
have fun,7
you're late.,-1
a day that we are not together is like three years apart.,-1
what's your problem,2
how can i get rich?,-1
have you read the newspaper?,-1
failure to advance is regression.,10
the museum is closed.,-1
that's too much!,7
isn't it?,-1
this powder is soluble in water.,-1
where is father,38
are you ok,2
these grapes are sour.,-1
i have been to kyoto twice.,14
he looked out the window.,12
but i don't see anything there.,-1
he went down the stairs.,37
he wants to see us again.,37
tell me!,7
"drinking water is not harmful, as long as not too much.",47
his parents were very happy.,43
"if it weren't for the sun, nothing would live.",-1
"if you happen to be leaving before five o'clock, tell me.",-1
there is no other explanation.,-1
tom is anxious.,1
we will ignore tom.,1
he should thank me.,13
i prefer to stay here.,-1
we will be with you until the end.,0
don't do that!,80
beggars should not be beggars.,57
what he did was crazy.,4
we have to make sure.,-1
tom wanted to be sure.,1
tom wanted to know.,1
tom glanced at his watch.,1
"if only i wasn't sick, i would come.",31
i rarely listen to the radio.,18
how are you,2
i will not allow it.,10
it can't be.,10
do you see the queen?,-1
what's your favorite podcast?,25
how did you learn esperanto?,-1
don't be angry; i have bad news.,-1
tom didn't do it then.,1
i love playing golf.,75
less than two miles to that village.,78
try to look happy.,13
he couldn't stand it anymore.,-1
this toothpaste is my favorite toothbrush.,-1
i translate sentences on tatoeba when i'm free.,-1
he gave me all his money.,12
the train will arrive on time.,18
he felt bad for his uncle's sheltering him.,4
my little son can drive.,-1
let's not argue just because we want to argue.,-1
that's normal.,0
he is very interested in japanese history.,14
we were surprised at the depth of his knowledge about it.,4
we watched tv last night.,72
the police soon arrived at the scene of the crime.,62
things got worse.,42
men are simple.,-1
"today is friday, yesterday was thursday, tomorrow is saturday, then sunday.",8
that can happen.,0
"in that country, there was a movement against japanese goods.",14
it's really your fault.,42
"every day, you are alone.",73
a rule is a rule.,0
i wish i had one too.,-1
"mom, dad, i'm addicted to meth and i owe big jim a hundred million dollars.",17
he leaned into me.,4
