tagalog,english,cebuano
nakahiga ako sa damo.,i lay on the grass.,naghigda ko sa sagbot.
may kumakatok sa inyong pinto.,someone is knocking on your door.,adunay nanuktok sa inyong purtahan.
anong kabutihan ng pagbabasa ng mga librong ganoon?,what good is reading such books?,unsay maayo sa pagbasa ug inganang libro?
ibili mo ako ng kahon ng tsokolate at ako'y magiging kontento.,buy me a box of chocolates and i'll be satisfied.,palita ako usa ka kahon nga tsokolate ug matagbaw ako.
nakita ka niya sa teatro.,he saw you at the theater.,nakit-an ka niya sa teatro.
nakakabilang ang bata hanggang dalawampu.,the child counts to twenty.,ang bata kay makaihap hangtod baynte.
"kung may sipon, inumin itong gamot ho.","if you have a cold, take this medicine.","kung adunay ka bugnaw, inom niini nga tambal."
gusto kong siya ang gumawa ng mahirap na trabaho.,i want him to do the hard work.,ganahan ko nga siya ang mubuhat atong hago nag buluhaton.
di niya ako pinakikinig ng kanyang bibig.,he didn't listen to me with his mouth.,dili ko niya ginapaminaw sa iyang mga istorya.
"bukas, bakit di ka pumarini't maglaro?","tomorrow, why don't you come and play?","ugma, nganong dili ka mu anhi diri ug magdula?"
"sa pebrero, maraming niyebe.","in february, there is a lot of snow.","sa pebrero, daghag niyebe."
di ko sinukat ang says nila.,i didn't measure what they said.,wala nako gisukod ilahang kadak-on.
lahat ito'y sa guni-guni mo.,it's all in your imagination.,kani tanan naa sa imong handurawan.
sabi ni tomas ay lahat ito'y sa guni-guni mo.,tomas said it's all in your imagination.,nisulti si tomas nga kani tanan naa sa imong handurawan.
namutla ka sa takot.,you turned pale with fear.,nangluspad ka sa kahadlok.
magtatalop ako ng dalandan para sa 'yo.,i will peel an orange for you.,magpanit ako ug aranghita para ka nimo.
sabi nila'y buhay pa siya.,they said he was still alive.,nisulti sila nga buhi pa siya.
mahusay naman ang lahat sa tahanan.,all is well at home.,lihiro ang tanan sa balay.
anong ginagawa mo rito?,what are you doing here,unsa imong ginabuhat diri?
di niya isip na mahusay ang manunulat.,he doesn't think the writer is good.,wala siya gahunahuna nga lihiro ang magsusulat.
di pa makasalita ang beybi ko; umiiyak lang siya.,my baby can't speak yet; he was just crying.,"dili pa kaistorya akong anak, gahilak ra siya."
anong obhektibo ng edukasyon?,what is the objective of education?,unsa ang katuyoan sa edukasyon?
gusto kong magtrabahong kasama ka.,i want to work with you.,ganahan ko makigtambayayong nimo.
di niya gusto ang kainsikan niya.,he doesn't like his mess.,dili siya ganahan anang iyang pagkamausisaon.
"pakiabot ng mapa ng kalye, nga?","hand over the street map, will you?",pakitunol sa mapa sa dalan.
anong iniiyakan mo?,what are you crying about?,unsa imong ginahilakan?
tuloy ka nang wala ako.,go on without me.,sulod nga wala ko.
ang tatoeba ay diksiyunaryo.,tatoeba is a dictionary.,ang tatoeba usa ka diksiyunaryo.
nakita mo iyon?,did you see that?,kakita ka ato?
ako nga.,i am.,ako daw.
talagang seksi ang mga binti mo.,your legs are really sexy.,seksi gyud imong paa.
talagang iba ang opinyon ko kaysa sa iyo.,my opinion is definitely different than yours.,naa gyud koy lain nga opinion kaysa nimo.
pabalik kami sa europa sa hunyo!,we're coming back to europe in june!,mobalik kami sa europa sa hunyo!
ang kaalaman ng wika ay isang bagay; ang pagtuturo nito ay iba pa.,knowledge of the language is one thing; teaching it is something else.,usa ka butang ang pagkahibalo sa sinultian; apan lahi nga butang ang pagtudlo niini.
gunitain mong nasa balat ko ikaw!,imagine you are in my skin!,hinumdumi ang naa sa akong panit!
isip ko'y hindi blondo ang esperanto.,i think esperanto is not blondo.,sa akong hunahuna dili blond si esperanto.
totoo yata ang istorya niya.,i think his story is true.,murag tinuod iyang istorya.
ang gðtom ang pinakamagaling na salsa.,gðtom is the best salsa.,ang kagutom mao ang labing kaayo nga salsa.
mas gusto ko ang matapang na kape kaysa sa matabang na kape.,i prefer strong coffee to fat coffee.,labing ganahan ko anang gahi nga kape kaysa matam-is nga kape.
"pakibigay ho ang susi sa akin, nga?","please give me the key, will you?",palihug ihatag kanako ang yawi
sinubukan niyang maging mayaman at sikat.,he tried to be rich and famous.,gisulayan niya nga mahimong adunahan ug bantog.
nasaktan ko ba ikaw?,did i hurt you,napasakitan ba tika?
nahihirapan akong magkonsentreyt.,i have difficulty concentrating.,naglisod kog konsentrar.
pinasabi nila kay maria ang lahat.,they told maria everything.,gipaingon nila kay maria ang tanan.
nagtrabaho nang nagtrabaho sila sa pabrika.,worked when they worked in the factory.,sila kay nanarbaho ug pag-ayo sa pabrika.
"mamamatay ba ako? ""hindi, magpapahinga ka.""","will i die ""no, you're going to rest.""","mamatay na ba ko? ""dili, mopahulay ka."""
kailangan mong maghanap ng mas murang alternatibong sangkap kahit na binabasado mo ang reseta mo sa lola mo.,you need to find a cheaper alternative ingredient even if you are reading your grandmother's prescription.,kinahanglan nimo pangitaon ang usa ka labi ka barato nga kapilian bisan kung nagbasa ka sa reseta sa imong apohan.
nalimutan niya ang libro niya sa plasa.,he forgot his book in the square.,nakalimot siya sa iyang libro sa plaza.
may mamantika na amoy ang suot ko dahil kumain ako sa may okonomiyaki.,my clothes have a greasy smell because i ate at an okonomiyaki place.,adunay ako usa ka malangis nga baho tungod kay ningkaon ako og okonomiyaki.
gumagawa siya ng masarap na pitsa.,he makes delicious pizza.,gabuhat siya ug lami nga pitsa.
"kung hindi siya pupunta, ikaw dapat ang maghalili sa kanya.","if he doesn't go, you should take his place.","kung dili siya moadto, kinahanglan nimo siya nga ilisan."
ang ibig sabihin mo'y kulang ka sa mga syota?,you mean you lack sweethearts?,"buut nimong ipasabut, wa kay igo nga uyab?"
nakita ni tomas si maria sa telebisyon.,tomas saw maria on television.,kakita si tomas kay maria sa telebisyon?
ayos ka ba?,are you ok,maayo ra ba ka?
sinong nagtuturo sa iyo ng pranses?,who teaches you french?,kinsay gatudlo ka ninyo ug pranses?
mataas ang alon.,the waves are high.,taas ang mga balud.
nagmamadaling kumain ako ng tanghalian.,i ate lunch in a hurry.,nagdali kong gikaon ang akong paniudto.
"gawa ang tinapay sa harina, tubig, at malimit lebadura.","bread is made of flour, water, and often yeast.","ang tinapay gihimo gikan sa harina, tubig, ug kanunay patubo."
suot niya'y puting sapatos.,he is wearing white shoes.,nagsul-ob siya og puti nga sapatos.
may sakit daw siya.,he said he was sick.,anaa daw siyay sakit.
dahan-dahan tayong namumulok.,we are slowly growing.,hinayhinay kami nga madunot.
mapolusyon ang hangin sa mamalaking siyudad.,the air in big cities is polluted.,hugaw ang hangin sa dagkong syudad.
di ako nagdududa na babasahin mo ang mga sulat ko.,i do not doubt that you will read my letters.,wala ako nagduha-duha nga basahon nimo ang akong mga sulat.
gusto mo bang magluto ng pagkaing hapon?,do you want to cook japanese food?,ganahan ba ka magluto ug pagkaong hinapon?
mas gusto ko ngayon lumabas imbes na nasa bahay.,i now prefer going out instead of staying at home.,labi nakong ganahan nga mogawas karon kaysa naa sa balay.
kanino mo gustong magsalita?,who do you want to talk to?,kinsa ba imong ganahan maistorya?
ibang bayan ay ibang kaugalian.,different people have different customs.,ang ubang mga lungsod lainlain ang kostumbre.
adik siya sa alak.,he is addicted to alcohol.,naadik siya sa alkohol.
binigyan niya ako ng halimbawa.,he gave me an example.,gihatagan ko niyag ehemplo.
"hawakan mo ang kamay ko. ikaw at ako, tayong magkasama'y gagawa ng utopiya.","hold my hand you and i, together we will create utopia.","kupti ang akong kamot. ikaw ug ako, maghiusa kita sa pagbuhat og utopia."
ka gulat ko!,i'm surprised!,nakuratan ko!
sumama ka sa amin kung gusto mo.,come with us if you want.,uban ka kanamo kung ganahan ka.
may sulatan sa kuwartong ito.,there is a letter in this room.,adunay sulatanan sa kani nga kwarto.
puwede mong kunin ang libro kung mababasa mo.,you can get the book if you can read it.,mahimo nimong kuhaon ang libro kung makabasa ka.
may dumadalaw na ang pangalan ay ono na gustong makita ka.,there is a visitor named ono who wants to see you.,adunay usa ka bisita nga ang ngalan kay ono nga ganahan makigkita kanimo.
isang klaseng dalandan iyon.,it's a kind of orange.,usa ka klaseng aranghita to.
si matias ay galing urugway. urugwayano siya.,matias is from uruguay. he is uruguayan.,si matias kay gikan ug urugway. urugwayano siya.
batang lalaki siyang mga beynte anyos.,he is a boy in his twenties.,siya usa ka bata nga lalaki nga baynte anyos.
batang lalaki siyang mga dalawampung taon.,he was a boy about twenty years old.,siya usa ka bata nga lalaki nga mga baynte ka tuig.
puwede na bang magsimulang kumain ako?,can i start eating now?,mahimo ba ako magsugod sa pagkaon karon?
may binulong siya sa kanya.,he whispered something to her.,naa siyay gihunghong kaniya.
dapat alagaan ninyong mabuti ang ating planeta: ang tiyera.,you must take good care of our planet: tierra.,kinahanglan ninyo nga bantayan pag-ayo ang atong planeta: ang tiyera..
dinidilaan ako niyong batang lalaki.,you boy is licking me.,gidilaan ako sa kana nga bata.
mga wika-wika ang hilig ko.,languages ​​are my passion.,mga sinultian ang ganahan ko.
ang mag-alak ay hindi magaling sa kalusugan.,drinking alcohol is not good for health.,ang mag-alak ay hindi magaling sa kalusugan.
sinundan mo ba ang plano mo?,did you follow your plan?,gisunud ba nimo ang imong plano?
kailan tayo kakain? gutom na ako!,when do we eat i'm hungry!,kanus-a man kita mangaon? gigutom na ko!
baka makikita natin ang mga pugad ng ibon.,we might see bird nests.,mahimo naton makita ang mga salag sa langgam.
kita ko ang tore sa bahay ko.,i can see the tower in my house.,nakita ko ang tore sa akong balay.
"mag-ingat ka sa mga mangdudukot, ken.","beware of kidnappers, ken.","pagbantay sa mga kawatan, ken."
gusto kong mag-aral sa paris.,i want to study in paris.,ganahan ko nga magtuon sa paris.
tumira siyang mag-isa sa bahay kubo.,he lived alone in a hut.,nag-inusara siyang nagpuyo sa payag.
siya at siya lamang ang alam ng buong katotohanan.,he and only he knows the whole truth.,siya ug siya ra ang nakahibalo sa tibuuk nga kamatuoran.
"dahil talagang malawak ang sansinukob, talagang maliit ka.","because the universe is really vast, you are really small.","tungod kay ang uniberso halapad kaayo, ikaw gamay kaayo."
"kaluluwa, sabi niya sa akin.","soul, he told me.","kalag, gisultihan niya ako."
"galak, sabi niya sa akin.","gladly, he told me.","nalipay, gisultihan niya ako."
may iba-ibang porma ng gobyerno.,there are different forms of government.,adunay lainlaing mga porma sa gobyerno.
napapanot sila sa paghihintay ng gera.,they are getting skinny waiting for the war.,gikapoy na sila sa pagpaabot sa giyera.
hindi nagbibigay ng gatas sa amin ang aming baka.,our cow does not give us milk.,ang among baka kay dili gahatag sa amo ug gatas.
"alas nuwebe na, sabi niya.","it's nine o'clock, he said.",niana siya nga alas nuybe na.
ba't ka sumisigaw?,why are you shouting,nganong gashagit ka?
dyeli ng ubas ang pinakagusto ko.,grape dye is my favorite.,labing ganahan ko sa parras sa dyeli.
inaalila niya ang kaibigan niya.,he worries about his friend.,giulipon niya ang iyang higala.
nagpapakaalila siya sa kaibigan niya.,he worshiped his friend.,nagpaulipon siya sa iyang higala.
bakit mo sinusubukang tumakbo?,why are you trying to run?,nganong gapaningkamot ka nga modagan?
nakakain ka na ba ng hilaw na isda?,have you ever eaten raw fish?,nakakaon na ba kag hilaw nga isda?
titigil ang barko sa yokohama.,the ship will stop at yokohama.,muhunong ang barko sa yokohama.
dumating na ba ang playt 123?,has playt 123 arrived yet?,niabot na ba ang playt 123?
nagtatanim ng kamatis ang tiya ko sa hardin niya.,my aunt grows tomatoes in her garden.,ang akong iyaan nagtanum og kamatis sa iyang tamnanan.
kulang ng panggatong.,lack of fuel.,dili igo ang pangsugnod.
may nagpoportuges.,someone speaks portuguese.,naay gaportuges.
nakarating ka na ba sa pransiya?,have you been to france?,nakaadto ka na ba sa pransiya?
"kape pa? ""hindi, tama na.""","more coffee? ""no, it's okay.""","mudungag pa kag kape? ""dili, igo na kana."""
gusto kong mag-aral magtugtog ng banjo.,i want to learn to play the banjo.,ganahan ko makakat-on motugtog og banjo.
paano naiimpluwensiya ng internet ang memorya ng katauhan?,how does the internet influence human memory?,giunsa makaimpluwensya ang internet sa panumduman sa tawo?
nabubo ang lahat ng gatas.,all the milk was spilled.,ang tanan nga gatas nayabo.
hindi dugo iyan. betabel iyan.,that's not blood. that's betabel.,dili kana dugo. betabel kana.
napatulog ako nang klase.,i fell asleep in class.,nakatulog ko sa klase.
magaling si goro sa ingles.,goro is good at english.,maayo kaayo si goro sa ingles.
masuwerte si tomas.,tomas was lucky.,swerte si tomas.
kamusta ang klase mo sa pranses?,how was your french class?,kumusta ang imong klase sa pranses?
mas magaling ang merong bagay kaysa sa wala.,something is better than nothing.,labing maayo nga adunay butang kay sa wala.
hindi... oo pala.,"no... yes, by the way.",dili... oo diay.
may nagbukas ng pinto.,someone opened the door.,naay ning abri sa purtahan.
ano ang nasa pupitre?,what's on the desk?,unsa ang naa sa lamesa?
isip mo ba'y bading siya?,do you think he's gay?,sa imong hunahuna bayot siya?
talagang baduy siya dahil walang moda ang suot.,he's really bad because he's wearing no fashion.,baduy gyud siya kay wala siya sa uso iyang sanina.
isip mo ba'y hindi siya tomboy?,do you think he is not gay?,sa imong hunahuna dili ba siya lakin-on?
ang klase ng edukasyon pisikal ay obligatoryo para sa lahat.,physical education class is mandatory for everyone.,kinahanglan ang klase sa pisikal nga edukasyon alang sa tanan.
siya ang tawag naming brilyanteng batang lalaki.,he is what we call a diamond boy.,siya ang gitawag nato nga batang lalaki nga brilyante.
di ka makasakay sa kabayo.,you can't ride a horse.,dili ka kasakay sa kabayo.
sabihin mo sa akin kung kailan papara.,tell me when to stop.,sultihi ko kanus-a ka muhunong.
natatandaan ko ang 1976.,i remember 1976.,nahinumdom ko sa 1976.
naaalaala ko ang 1976.,i remember 1976.,nahinumdom ko sa 1976.
inaalaala ko ang 1976.,i remember 1976.,ginahinumdom ko ang 1976.
nilasahan ko ang libro niya.,i tasted his book.,natilawan nako iyang libro.
naroon iyon.,it was there.,anaa na.
nagtataka siya sa katangahan niya.,he wonders at her stupidity.,natingala siya sa iyang kadanghag.
"dahil takot siya sa teknolohiya, para siya talagang babae.","because she's afraid of technology, she's like a real girl.","tungod kay nahadlok siya sa teknolohiya, mura gyud siyag babaye."
gusto kong magbiyaheng magsarili.,i want to travel alone.,ganahan ko nga mobiyahe nga mag-inusara.
anong paborito mong librong harry potter?,what is your favorite harry potter book?,unsa ang imong pinalabing libro nga harry potter?
konting mas malaki sa manok ang terki.,a turkey is slightly larger than a chicken.,ang terki mas gamay gamay kaysa sa manok.
walang makakaalam ng kalahatan.,no one can know everything.,wala?y makahibalo sa kinatibuk-an.
sarado ang puwerto sa paglalayag.,the port is closed to sailing.,sirado ang pantalan.
hindi importante sa kanya ang relihiyon at hindi siya naniniwala.,religion is not important to him and he does not believe.,ang relihiyon dili hinungdanon kaniya ug dili siya motuo.
ang relihiyon ay libangan lamang ng karamihan.,religion is just entertainment for the masses.,ang relihiyon usa ka kalingawan ra sa kadaghanan.
arte ang relihiyon.,religion is art.,aryat ang relihiyon.
kinaltas ang piknik dahil sa ulan.,the picnic was cut short due to rain.,nakansela ang piknik tungod sa ulan.
nimumulto raw ang hupiter ng iba-ibang anito at anino.,jupiter is said to be haunted by various forms and shadows.,giingon nga gigamhan sa jupiter ang lainlaing mga anino ug anino.
di-kailanmang nabuhay at parating patay.,never lived and always dead.,wala nabuhi ug kanunay namatay.
"may napupuna na ang pangkaramihang hulaping -j sa esperanto ay impluwensiya ng griyego, o antigong griyego man.","some argue that the plural suffix -j in esperanto is influenced by greek, or ancient greek.","talalupangdon nga ang pangkadaghanan nga hulapi -j sa esperanto naimpluwensyahan sa greek, o karaang greek."
"gusto niyang tandaan ang buong diksiyunaryong lojban, pero alam niyang ilang salita'y sapat na.","he wanted to memorize the entire lojban dictionary, but he knew a few words would be enough.","ganahan siya nga hinumdoman ang tibuuk nga diksyonaryo sa lojban, apan nahibal-an niya nga igo na ang pipila ka mga pulong."
nakakain ba ito?,is it edible?,makaon ba ni?
sa tokyo siya pinanganak at lumaki.,he was born and raised in tokyo.,natawo ug ningdako siya sa tokyo.
binigyan namin ng tulak ang awto.,we gave the car a push.,giduso namo ang awto.
bukas ang zipper mo!,your zipper is open!,abri ang imong zipper!
ba't di mo mas maagang sinabi?,why didn't you say earlier?,ngano wala ka misulti ganiha?
"hindi raw masarap ang tao, sabi ni ebyang. tama siya.","people are not good, ebyang said. he is right.","dili daw kuno lami ang tawo, misulti si ebyang. sakto siya."
mas marami ang supot sa mundo.,there are more bags in the world.,adunay daghang mga plastik sa kalibutan.
ang realidad ay mukhang iba sa kinabukasan na hinintay natin.,the reality looks different from the future we have waited for.,"kung lantawon, ang reyalidad kay lahi sa atong gihulat nga umaabot."
"kahit na may mga hulaan sa salaysaying makaagham, di tayo ngayon lumilipad nang nakaroket sa bakpak, ni tayo nagbabakasyon sa buwan, ni tayo kumakain nang pilduras ang nilulunok, at ni tayo nasasarapan sa luhong walang ginagawa habang gumagawa ng lipunang kayamanan ang mga robot.","even if there are predictions in scientific history, we are not flying on a rocket on a wing, nor are we vacationing on the moon, nor are we eating like a pill, and we are not enjoying the luxury of doing nothing while robots are creating a wealth society.","bisan kung adunay mga panagna sa siyentipikong saysay, dili kami karon naglupad mga rocket sa likod sa balay, ni magbakasyon sa bulan, ni mokaon og mga tabletas nga natulon, ug dili kami malipay sa wala?y pulos nga kaluho samtang ang mga robot naghimo sa yaman sa katilingban."
