Topic,Count,Name,Representation,Representative_Docs
10,65,10_impossible_know_didn_understand,"['impossible', 'know', 'didn', 'understand', 'don', 'cannot', 'can', 'happen', 'hear', 'answer']","['for me, it is impossible to answer this question.', ""i don't know what that is."", 'it is impossible to know what will happen in the future.']"
11,59,11_mary_tom_maria_john,"['mary', 'tom', 'maria', 'john', 'doesn', 'asked', 'jane', 'and', 'she', 'became']","['mary is beautiful.', 'tom and mary will have a child.', 'mary is happy.']"
12,58,12_her_he_she_gave,"['her', 'he', 'she', 'gave', 'his', 'woman', 'professor', 'everything', 'was', 'tried']","['he was always on her mind.', 'he made her do that.', 'he was very happy to see her.']"
13,52,13_he_strong_his_smiled,"['he', 'strong', 'his', 'smiled', 'saved', 'told', 'funny', 'raised', 'man', 'him']","['the man is strong.', 'wanting to ask a question, he raised his hand.', 'the man raised his hand to ask.']"
14,51,14_japan_japanese_tokyo_kyoto,"['japan', 'japanese', 'tokyo', 'kyoto', 'in', 'chinese', 'speak', 'been', 'ago', 'shanghai']","['many foreigners come here to japan to learn japanese.', 'you are not japanese.', ""don't speak japanese.""]"
15,46,15_students_exam_class_education,"['students', 'exam', 'class', 'education', 'passed', 'student', 'pass', 'school', 'classroom', 'job']","['the students are back.', 'there are 40 students in this class.', 'how many of your students are here?']"
16,40,16_jupiter_planet_moon_our,"['jupiter', 'planet', 'moon', 'our', 'planets', 'saturn', 'alpha', 'centauri', 'surface', 'bb']","['the planet alpha centauri bb is 4.37 light-years from our earth.', 'jupiter is the largest planet in our solar system.', 'jupiter is the largest planet in our solar system.']"
17,40,17_bag_wallet_luggage_expensive,"['bag', 'wallet', 'luggage', 'expensive', 'money', 'big', 'prices', 'pocket', 'supermarket', 'carry']","['this is my bag.', 'can you put it all in the big bag?', 'if only i had enough money, i would have bought that bag.']"
18,39,18_train_radio_station_bus,"['train', 'radio', 'station', 'bus', 'clock', 'catch', 'next', 'the', 'left', 'arrive']","['the train has left.', 'what train do you take?', 'where is the train station?']"
19,38,19_have_don_nothing_no,"['have', 'don', 'nothing', 'no', 'school', 'car', 'sisters', 'has', 'happened', 'time']","[""we don't have school today."", ""i don't have a car."", ""i don't have a car.""]"
20,38,20_fruit_apples_apple_bush,"['fruit', 'apples', 'apple', 'bush', 'juice', 'vegetables', 'eat', 'prefer', 'green', 'orchard']","['he wants to eat this fruit.', 'you like fruit.', 'the apple tree has little fruit this year.']"
21,38,21_woman_girls_mother_women,"['woman', 'girls', 'mother', 'women', 'hair', 'girl', 'long', 'look', 'white', 'men']","['that girl with long hair is judy.', 'who is this old woman?', 'i am a woman.']"
22,37,22_sun_sky_clouds_stars,"['sun', 'sky', 'clouds', 'stars', 'summer', 'hot', 'beautiful', 'shining', 'cloudy', 'heat']","['the stars are shining in the sky.', 'the sun got hot.', 'there is sun, but hot.']"
23,33,23_sleep_sleeping_still_sleeps,"['sleep', 'sleeping', 'still', 'sleeps', 'youngest', 'baby', 'bed', 'time', 'put', 'standing']","[""it's time to sleep."", ""i don't want to sleep!"", 'i want to sleep']"
24,33,24_coffee_tea_milk_drink,"['coffee', 'tea', 'milk', 'drink', 'hot', 'cup', 'drinking', 'ice', 'prefer', 'cold']","['i will drink the coffee.', 'i drink coffee.', 'what would you like, tea or coffee?']"
25,32,25_piano_guitar_music_musician,"['piano', 'guitar', 'music', 'musician', 'play', 'pianist', 'plays', 'playing', 'likes', 'expensive']","[""it's an old piano."", 'who plays the piano?', 'a piano is expensive.']"
26,31,26_phone_call_number_called,"['phone', 'call', 'number', 'called', 'cell', 'calling', 'later', 'me', 'him', 'phones']","['will you give me your phone number?', 'do you have a phone', 'who did you call on the phone?']"
27,30,27_flowers_flower_rose_garden,"['flowers', 'flower', 'rose', 'garden', 'beautiful', 'picked', 'pink', 'street', 'maria', 'red']","['they take care of flowers in the garden.', 'he picked flowers in the garden.', 'there are many red flowers in the garden.']"
28,30,28_old_age_years_twenty,"['old', 'age', 'years', 'twenty', 'fifteen', 'over', '17', 'sixty', 'seventeen', 'child']","['i am fifteen years old. why do you ask?', 'he was a boy about twenty years old.', 'how old are you i am twenty-six years old.']"
29,30,29_animals_horse_leaves_monkey,"['animals', 'horse', 'leaves', 'monkey', 'trees', 'tree', 'fell', 'lizard', 'lion', 'forest']","['there are animals here.', 'leaves and trees fall.', 'the monkey fell from the tree.']"
30,28,30_door_window_open_bees,"['door', 'window', 'open', 'bees', 'opened', 'curtains', 'balcony', 'knocking', 'windows', 'someone']","['someone opened the door.', 'the window is open.', 'open the door.']"
31,28,31_feel_sad_sick_bad,"['feel', 'sad', 'sick', 'bad', 'crying', 'cry', 'ache', 'fever', 'nightmares', 'regarding']","['i feel so bad right now!', 'i feel like crying.', 'i feel bad.']"
32,28,32_paper_pen_ink_papers,"['paper', 'pen', 'ink', 'papers', 'wall', 'pens', 'desk', 'pencil', 'write', 'letters']","['i will use those scissors to cut the yellow paper.', 'squid ink is edible while pen ink is not.', ""don't stick paper on the wall.""]"
33,27,33_beach_ship_lake_river,"['beach', 'ship', 'lake', 'river', 'bathe', 'ocean', 'swimming', 'sea', 'village', 'near']","['they are walking on the beach.', 'village children bathe in the river.', 'they went to the beach.']"
34,27,34_french_paris_speak_france,"['french', 'paris', 'speak', 'france', 'study', 'painting', 'schools', 'speakers', 'quebec', 'anthem']","['do you all speak french?', 'i want you to speak french.', 'in paris, they speak french.']"
35,26,35_house_room_lives_river,"['house', 'room', 'lives', 'river', 'dreamed', 'floors', 'mansion', 'garage', 'fan', 'inherited']","['where is your house', 'is this your house?', 'this is my house.']"
36,26,36_computer_internet_camera_worked,"['computer', 'internet', 'camera', 'worked', 'use', 'bought', 'constant', '1994', 'cam', 'annoying']","['do you have a computer', 'this is my computer.', 'this is my computer.']"
37,26,37_entered_room_waiting_saw,"['entered', 'room', 'waiting', 'saw', 'him', 'left', 'went', 'walk', 'he', 'wait']","['he entered the room with his hat off.', 'he entered the room at a run.', 'he left the room when i entered.']"
38,25,38_father_dad_my_where,"['father', 'dad', 'my', 'where', 'operated', 'carpenters', 'fishing', 'support', 'happier', 'juan']","['where is father', 'this is my father.', 'you are my father.']"
39,25,39_why_understand_reason_do,"['why', 'understand', 'reason', 'do', 'mean', 'does', 'hurting', 'mad', 'clear', 'what']","['why?', 'why?', 'i understand why.']"
40,23,40_accident_bike_jack_caused,"['accident', 'bike', 'jack', 'caused', 'motorcycle', 'road', 'bikes', 'afford', 'jackfruit', 'deaths']","['he lost his life in a car accident.', ""jack can't afford a new bike."", 'the accident happened on the road.']"
41,22,41_table_chairs_glue_on,"['table', 'chairs', 'glue', 'on', 'chair', 'plastic', 'sitting', 'under', 'empty', 'corner']","['lunch is on the table.', ""it's a table."", ""that's a table.""]"
42,22,42_wrong_nonsense_admit_think,"['wrong', 'nonsense', 'admit', 'think', 'bad', 'obviously', 'worst', 'ruined', 'bullshit', 'opposite']","[""you know that's wrong."", 'i think you are wrong.', 'i think you are wrong.']"
43,22,43_parents_family_your_families,"['parents', 'family', 'your', 'families', 'divorced', 'obedient', 'my', 'care', 'introduce', 'strict']","['you have to please your parents.', 'you live with your parents.', 'his parents are with him.']"
44,22,44_friend_friends_friendship_many,"['friend', 'friends', 'friendship', 'many', 'imaginary', 'lucy', 'stranger', 'relationships', 'members', 'tanaka']","['i have many friends.', 'he is your friend.', 'you are my friend']"
45,21,45_dog_bone_dogs_buries,"['dog', 'bone', 'dogs', 'buries', 'barks', 'fought', 'companion', 'throw', 'taken', 'over']","['you have a dog, right?', 'he has a dog.', 'this is my dog.']"
46,21,46_snow_mountain_whole_winter,"['snow', 'mountain', 'whole', 'winter', 'covered', 'storm', 'feet', 'look', 'cold', 'red']","['there will be a snow storm.', 'the whole country is covered with snow.', 'look at that mountain covered in snow.']"
47,20,47_don_without_drinking_water,"['don', 'without', 'drinking', 'water', 'cry', 'feelings', 'avoids', 'evacuate', 'regret', 'harmful']","['without air and water, nothing could survive.', 'drinking water is not harmful, as long as not too much.', 'we cannot live without water, not even for a day.']"
48,19,48_abroad_filipino_portuguese_foreign,"['abroad', 'filipino', 'portuguese', 'foreign', 'states', 'student', 'united', 'year', 'speak', 'far']","[""i'm thinking of going abroad next year."", 'one of my friends lives abroad.', 'i want to study abroad.']"
49,19,49_english_speak_studying_language,"['english', 'speak', 'studying', 'language', 'french', 'learn', 'ahead', 'profession', 'oxford', 'intend']","['they like the english language.', 'speak english because you really know how.', 'do you know english?']"
50,19,50_rained_rain_raining_heavily,"['rained', 'rain', 'raining', 'heavily', 'it', 'yesterday', 'warmed', 'winds', 'sail', 'occupants']","['it rained last night.', 'it rained all day yesterday.', 'it rained heavily yesterday.']"
51,17,51_thirsty_drink_drunk_drank,"['thirsty', 'drink', 'drunk', 'drank', 'drinking', 'glass', 'something', 'salabat', 'wine', 'water']","[""i'm thirsty"", 'he was thirsty.', 'i drank water because i was thirsty.']"
52,17,52_forgot_forgotten_memory_umbrella,"['forgot', 'forgotten', 'memory', 'umbrella', 'remember', 'earth', 'bring', 'almost', 'amnesia', 'loss']","['i almost forgot.', 'i forgot my umbrella.', 'i forgot to bring my umbrella.']"
53,17,53_chicken_fish_rooster_popcorn,"['chicken', 'fish', 'rooster', 'popcorn', 'bird', 'seen', 'slightly', 'turkey', 'duck', 'grain']","['even a blind chicken can find a grain.', 'he took the chicken.', 'a turkey is slightly larger than a chicken.']"
54,17,54_doctor_physician_patient_smoking,"['doctor', 'physician', 'patient', 'smoking', 'wish', 'specialist', 'quit', 'physicians', 'advised', 'doctors']","[""i wish i had followed the doctor's advice."", 'his doctor told mr. smith to stop smoking.', 'the doctor told me to quit smoking.']"
55,16,55_write_family_nurse_daughter,"['write', 'family', 'nurse', 'daughter', 'son', 'rich', 'cook', 'married', 'gift', 'served']","['the cook cooked for the family for many years.', 'the cook served the family for many years.', 'he is the son of a rich family.']"
56,16,56_afraid_nervous_because_are,"['afraid', 'nervous', 'because', 'are', 'girl', 'idols', 'smarter', 'fears', 'of', 'cat']","['you are afraid of me.', 'you are afraid.', 'you are afraid']"
57,16,57_beggars_bite_don_play,"['beggars', 'bite', 'don', 'play', 'disappear', 'mosquito', 'scratch', 'not', 'grass', 'flies']","['beggars should not be beggars.', ""don't bite your nails."", 'do not scratch the mosquito bite. that will be red.']"
58,15,58_don_lie_want_change,"['don', 'lie', 'want', 'change', 'asking', 'bet', 'opinions', 'situation', 'fault', 'enemy']","[""i don't want to change you."", ""i don't want you to change."", ""i don't want to lie down.""]"
59,15,59_work_job_housework_outside,"['work', 'job', 'housework', 'outside', 'boss', 'continued', 'easier', 'serious', 'lazy', 'much']","['i did all the work.', ""for me, it's easier to work outside than to work at home."", 'i work here.']"
60,15,60_religion_religious_science_art,"['religion', 'religious', 'science', 'art', 'discuss', 'incas', 'catholic', 'masses', 'religions', 'buddha']","['religion is an art, not a science.', 'religion is art.', 'science is not religion.']"
61,14,61_did_pedro_roberto_came,"['did', 'pedro', 'roberto', 'came', 'where', 'hiding', 'does', 'song', 'playing', 'met']","['does mr. pedro live here?', 'where did roberto travel to?', 'he just came. did you find out']"
62,14,62_police_call_policeman_scene,"['police', 'call', 'policeman', 'scene', 'crime', 'majority', 'protecting', 'witness', 'lawyer', 'jobs']","['we need to call the police.', 'do you want me to call the police?', 'call the police!']"
63,14,63_language_english_speak_native,"['language', 'english', 'speak', 'native', 'languages', 'french', 'write', 'world', 'admits', 'urdu']","[""i don't speak another language."", 'the english language has become predominant throughout the world for many reasons.', 'english is not my native language.']"
64,14,64_die_dead_mortal_greeks,"['die', 'dead', 'mortal', 'greeks', 're', 'body', 'let', 'john', 'men', 'eternal']","['will i die ""no, you\'re going to rest.""', 'all men are mortal, all greeks are men, therefore, all greeks are mortal.', ""like me, you know we're going to die here.""]"
65,14,65_tell_him_prime_2136,"['tell', 'him', 'prime', '2136', 'minister', 'find', 'reveal', 'logograms', 'kanji', 'arrives']","['tell him where he should go.', 'did he really reveal all 2136 kanji logograms?', 'can you tell me why you like him?']"
66,13,66_birthday_august_happy_sixteenth,"['birthday', 'august', 'happy', 'sixteenth', 'november', '20th', 'present', 'party', 'my', 'received']","['yesterday was my birthday.', 'when is your birthday', 'happy birthday!']"
67,13,67_thank_much_congratulating_opportunity,"['thank', 'much', 'congratulating', 'opportunity', 'essay', 'inviting', 'cooperation', 'very', 'actually', 'sincerely']","['thank you!', 'thank you', 'thank you!']"
68,12,68_son_children_child_diaper,"['son', 'children', 'child', 'diaper', 'ihele', 'control', 'acts', 'marie', 'peed', 'worried']","['he is worried about his son.', 'this is my son.', ""i'm your son.""]"
69,12,69_soldiers_weapon_enemy_used,"['soldiers', 'weapon', 'enemy', 'used', 'war', 'abetting', '47', 'considered', 'camp', 'ended']","['the soldiers forced the young men to join the army.', 'many soldiers died in world war ii.', 'soldiers are used to danger.']"
70,12,70_shy_kidding_rush_damage,"['shy', 'kidding', 'rush', 'damage', 'suffered', 'added', 'afraid', 'saying', 'battle', 'not']","[""don't be shy."", ""you don't have to be shy."", 'our ship suffered no damage in the battle.']"
71,12,71_europe_capital_budapest_duhat,"['europe', 'capital', 'budapest', 'duhat', 'belgium', 'hungary', 'unaware', 'crisis', 'drug', 'aunt']","['he traveled to europe.', ""we don't have that in europe."", 'you are in europe!']"
72,12,72_television_tv_watched_turn,"['television', 'tv', 'watched', 'turn', 'watch', 'off', 'channel', 'on', 'discovery', 'sofa']","[""let's turn off the television."", 'turn on the tv.', 'i watched television.']"
73,12,73_alone_travel_yumi_go,"['alone', 'travel', 'yumi', 'go', 'yourself', 'myself', 'think', 'stay', 'young', 'do']","['i want to travel alone.', 'i think i have to go in alone.', 'you have to go alone.']"
74,11,74_cake_chocolate_divide_cakes,"['cake', 'chocolate', 'divide', 'cakes', 'chocolates', 'shape', 'thickens', 'flavor', 'feeling', 'gives']","['they eat chocolate.', 'get a cake if you want.', ""i don't like chocolate.""]"
75,11,75_tennis_golf_baseball_played,"['tennis', 'golf', 'baseball', 'played', 'ball', 'playing', 'play', 'racket', 'saker', 'round']","['we will play tennis.', 'i want to play tennis with you one day.', 'he played tennis all day.']"
76,11,76_brother_older_datu_alvin,"['brother', 'older', 'datu', 'alvin', 'ana', 'introduced', 'cousin', 'my', 'visited', 'grandfather']","['where is my brother', 'this is my brother.', 'he is my brother.']"
77,11,77_italy_spain_rome_madrid,"['italy', 'spain', 'rome', 'madrid', 'uncle', 'elisa', 'principality', 'russia', 'uruguayan', 'matias']","['my uncle lives in madrid, the capital of spain.', 'my uncle has a house in italy.', 'rome is in italy.']"
78,11,78_next_how_village_far,"['next', 'how', 'village', 'far', 'bridge', 'intersection', 'centimeters', 'mile', 'meter', 'miles']","['less than two miles to that village.', 'how far is the next gas station?', 'how far is it from here to the next village?']"
79,11,79_eyes_eye_tears_invisible,"['eyes', 'eye', 'tears', 'invisible', 'tricked', 'itch', 'weapon', 'sand', 'blind', 'heart']","['i saw it with my own two eyes.', 'he closed his eyes.', 'i see tears in your eyes.']"
80,11,80_don_treat_shout_talk,"['don', 'treat', 'shout', 'talk', 'touch', 'funny', 'crazy', 'mean', 'sorry', 'answer']","[""sorry, don't shout!"", ""don't talk to me!"", ""don't treat me like i'm crazy!""]"
81,10,81_smoking_smoke_habit_nineteen,"['smoking', 'smoke', 'habit', 'nineteen', 'forbid', 'cigarette', 'nicotine', 'smokes', 'starting', 'roof']","[""starting tomorrow i won't smoke anymore."", 'i have been smoking since i was nineteen years old.', 'no smoking!']"
82,10,82_great_dream_story_visions,"['great', 'dream', 'story', 'visions', 'mind', 'memories', 'mystery', 'bear', 'imagination', 'grandfather']","['a bear wrote the story.', 'you have a great idea.', 'life is a great mystery.']"
