Topic,Count,Name,Representation,Representative_Docs
9,104,9_beautiful_woman_women_girl,"['beautiful', 'woman', 'women', 'girl', 'isn', 'dressed', 'girls', 'look like', 'beautiful woman', 'cute']","['is beautiful', 'how beautiful you are', 'how beautiful']"
10,92,10_money_pay_wallet_don money,"['money', 'pay', 'wallet', 'don money', 'lost wallet', 'money don', 'buko', 'million', 'dollars', 'bank']","['i had to get money', 'was there enough money', 'whose money is it']"
11,94,11_parents_father_family_mother,"['parents', 'father', 'family', 'mother', 'mom', 'don tell', 'tell', 'baby', 'accompanied', 'sisters']","['you have to be obedient to your parents', 'you have to please your parents', 'when my parents find out you re here they might do something unpleasant']"
12,102,12_saw_seen_talking_haven seen,"['saw', 'seen', 'talking', 'haven seen', 'knew', 'walking', 'shadow', 'watch', 'look', 'noticed']","['i saw him', 'who saw you', 'i saw there']"
13,76,13_dining_table_room_restaurant,"['dining', 'table', 'room', 'restaurant', 'windows', 'mirror', 'triangular', 'doors', 'square', 'round']","['the doors are round in the dining room there', 'the chairs in the dining room are green', 'where is the dining room']"
14,93,14_old_years_years old_age,"['old', 'years', 'years old', 'age', 'young', 'older', 'boy', 'twice', 'child', 'younger']","['you seem very old', 'i m old', 'how old are you i am twenty-six years old']"
15,81,15_rain_raining_water_weather,"['rain', 'raining', 'water', 'weather', 'storm', 'wet', 'heavy', 'yesterday', 'broken', 'wet rain']","['the rain came back and forth', 'it will rain in town', 'it will rain well in his city']"
16,78,16_crying_cried_sad_feel,"['crying', 'cried', 'sad', 'feel', 'bitter', 'expected', 'feel bad', 'congratulate', 'stop', 'woman']","['what are you crying about', 'why are they crying', 'who s crying']"
17,71,17_dog_dogs_threw_stone,"['dog', 'dogs', 'threw', 'stone', 'bigger', 'truck', 'enter', 'feed', 'run', 'morning night']","['my dog is always barking', 'the dog always barks at me', 'this is my dog']"
18,64,18_phone_cell_calling_later,"['phone', 'cell', 'calling', 'later', 'number', 'cell phone', 'bell', 'rang', 'anti technology', 'anti']","['do you have a phone', 'he was on the phone', 'i called on the phone']"
19,82,19_shoes_wearing_clothes_new,"['shoes', 'wearing', 'clothes', 'new', 'feet', 'finger', 'socks', 'wear', 'ring', 'short']","['he is wearing white shoes', 'he is wearing the shoes but he is not wearing the socks', 'is wearing a new pair of shoes']"
20,81,20_secretary_president_played_control,"['secretary', 'president', 'played', 'control', 'works', 'free', 'asking', 'gold', 'interested', 'cheated']","['my elected candidate for president lost because they rigged the election results', 'who is the president', 'they dream that when their candidate becomes president life will be free because the president will gather gold']"
21,96,21_eating_eats_knuckle_snack,"['eating', 'eats', 'knuckle', 'snack', 'mixed', 'ate', 'taste', 'sago', 'eat', 'gelatin']","['ate a knuckle of pandan', 'ate a knuckle', 'is eating pandan knuckle']"
22,68,22_wait_waited_waiting_moment,"['wait', 'waited', 'waiting', 'moment', 'minute', 'kept', 'just', 'outside', 'long', 'little longer']","['didn t wait for you', 'why didn t you wait for', 'can it wait here']"
23,85,23_stop_helped_shouted_doctor,"['stop', 'helped', 'shouted', 'doctor', 'anymore', 'inside room', 'cancer', 'anymore friend', 'burn', 'stinks']","['do you smoke', 'where there s smoke there s fire', 'you always smoke weed']"
24,88,24_told_said_promise_answered,"['told', 'said', 'promise', 'answered', 'okay', 'say', 'promised', 'radio', 'farmer', 'say english']","['we agree', 'i agree', 'i agree with everything you said']"
25,71,25_remember_forgot_forgotten_forget,"['remember', 'forgot', 'forgotten', 'forget', 'umbrella', 'memory', 'passport', 'don remember', 'bed', 'bring umbrella']","['i remember', 'i remember', 'i remember']"
26,67,26_truth_believe_don believe_tell,"['truth', 'believe', 'don believe', 'tell', 'true', 'god', 'true don', 'jesus', 'honest', 'say want']","['i can t tell you the truth', 'tell him the truth that s all', 'where do we find the truth']"
27,74,27_crazy_stupid_lazy_satisfied,"['crazy', 'stupid', 'lazy', 'satisfied', 'mess', 'happening', 'failed', 'anymore', 'people', 'knew']","['are you that stupid', 'you are stupid', 'i don t call you stupid even if you seem to be more stupid']"
28,72,28_house_neighbors_neighbor_lives,"['house', 'neighbors', 'neighbor', 'lives', 'dry', 'land', 'number', 'sell', 'bamboo', 'built']","['our house is your house', 'he inherited the house', 'who owns this house']"
29,72,29_apple_fruit_pear_planted,"['apple', 'fruit', 'pear', 'planted', 'weak', 'saucepan', 'sour', 'wound', 'karl', 'jackfruit']","['do you prefer the apple or the pear', 'i eat an apple', 'the apple tree has little fruit this year']"
30,78,30_swim_river_sea_ship,"['swim', 'river', 'sea', 'ship', 'lake', 'swimming', 'joel', 'near', 'prefers', 'swim river']","['he can swim farther than me', 'you can swim', 'can i swim in this lake']"
31,80,31_mind_important_use_story,"['mind', 'important', 'use', 'story', 'health', 'brain', 'stories', 'healthy', 'tell story', 'slave']","['you need vitamins to keep your mind healthy', 'mental health is more important than physical health', 'you re really out of your mind']"
32,61,32_french_speak_teaches_france,"['french', 'speak', 'teaches', 'france', 'africa', 'write', 'teachers', 'know speak', 'canada', 'learning']","['many speak french', 'i am french', 'he is the french ambassador to portugal']"
33,67,33_trees_castle_church_trees garden,"['trees', 'castle', 'church', 'trees garden', 'fountain', 'wood', 'windows castle', 'castle grounds', 'grounds', 'garden']","['there are sinigwelas trees next to the castle', 'there are tamarisk trees next to the castle', 'there are tamarisk trees behind the castle']"
34,60,34_friends_friend_best_robots,"['friends', 'friend', 'best', 'robots', 'peter', 'ann', 'shouldn', 'home tired', 'car ran', 'tanaka']","['whose friend are you', 'i am a friend of roberts', 'this is my friend']"
35,66,35_afraid_nervous_animals_shadows,"['afraid', 'nervous', 'animals', 'shadows', 'look like', 'losing', 'dangerous', 'danger', 'look', 'cats']","['i m afraid', 'you are afraid of me', 'you are afraid because of your idols']"
36,63,36_hair_cut_white_long hair,"['hair', 'cut', 'white', 'long hair', 'teeth', 'hotel', 'short', 'hadn', 'dye', 'race']","['i pulled out all the hair in my armpits', 'have you dyed your hair', 'you have frizz in your hair']"
37,66,37_love_love love_loves_says,"['love', 'love love', 'loves', 'says', 'loved', 'forever', 'lovers', 'know doesn', 'just don', 'cassandra']","['love others as you love yourself', 'i love you more than you love me', 'i love you i love you too']"
38,60,38_box_smile_passengers_forced,"['box', 'smile', 'passengers', 'forced', 'piece', 'snores', 'evidence', 'understands', 'single', 'answered']","['luckily no passengers were hurt', 'no passengers died in the accident', 'you don t have a single piece of evidence']"
39,75,39_fell_accident_jumped_road,"['fell', 'accident', 'jumped', 'road', 'broke', 'building', 'floor', 'playing', 'bedroom', 'felt']","['i fell', 'i fell', 'they fell']"
40,59,40_letter_write_wrote_letters,"['letter', 'write', 'wrote', 'letters', 'sent', 'message', 'paper', 'writing', 'permission', 'principal']","['what does he say in the letter', 'there is a letter in this room', 'he wrote a letter']"
41,55,41_paris_europe_capital_france,"['paris', 'europe', 'capital', 'france', 'innocent', 'terrorism', 'normal', 'study', 'went', 'emotional']","['have you been to paris', 'have you been to paris', 'where is paris']"
42,60,42_green_blanket_shirt_green white,"['green', 'blanket', 'shirt', 'green white', 'green brown', 'yellow', 'green chocolate', 'white', 'green black', 'brown']","['the blanket is green and brown', 'the blanket is green and white', 'the blanket is red and green']"
43,64,43_understand_don understand_confused_meaning,"['understand', 'don understand', 'confused', 'meaning', 'word', 'understand meaning', 'explain', 'symbol', 'mean', 'mean don']","['i don t understand you', 'i don t understand', 'you don t always understand']"
44,53,44_cat_cats_feed_luck,"['cat', 'cats', 'feed', 'luck', 'chased', 'black', 'table', 'bed', 'inside house', 'dog']","['the cat is not mine', 'call the cat', 'this is my cat']"
45,61,45_drink_drinking_drunk_drinks,"['drink', 'drinking', 'drunk', 'drinks', 'beer', 'drank', 'milk', 'water', 'elephants', 'glass water']","['do you drink beer', 'do you drink beer', 'duane s friends are drinking beer on the beach']"
46,59,46_sun_hot_sky_avoid,"['sun', 'hot', 'sky', 'avoid', 'heat', 'tower', 'summer', 'strong', 'lights', 'weren']","['the sun got hot', 'there is sun but hot', 'the sun hides behind the clouds']"
47,81,47_wouldn_hurt_mean_beat,"['wouldn', 'hurt', 'mean', 'beat', 'sign', 'plan', 'promised', 'wasn', 'told', 'want fool']","['i didn t mean to', 'i didn t mean to', 'i know that did not mean to hurt']"
48,51,48_flowers_garden_flowers garden_park,"['flowers', 'garden', 'flowers garden', 'park', 'street', 'zoe', 'factory', 'flower', 'houses', 'came carrying']","['they take care of flowers in the garden', 'there are many red flowers in the garden', 'there are many flowers in s garden']"
49,51,49_angry_upset_mad_fuck,"['angry', 'upset', 'mad', 'fuck', 'bad', 'destroyed', 'wife', 'annoyed', 'disturbed', 'earthquake destroyed']","['are you angry', 'he was angry with me', 'they were angry']"
50,48,50_married_husband_wife_getting,"['married', 'husband', 'wife', 'getting', 'got', 'anymore husband', 'dentist', 'barren', 'necessity', 'seventeen']","['i m already married', 'are you still married', 'i am married']"
51,54,51_sick_got sick_seriously_medicine,"['sick', 'got sick', 'seriously', 'medicine', 'illness', 'high', 'got', 'time got', 'anti technology', 'anti']","['are you sick', 'i m sick', 'who is sick']"
52,54,52_monster_forest_tree_ocean,"['monster', 'forest', 'tree', 'ocean', 'monkey', 'forbidden', 'lion', 'comes', 'big', 'stronger']","['i saw the big bear of the forest', 'the monster came from the forest', 'the monster left the forest']"
53,60,53_language_languages_native_english,"['language', 'languages', 'native', 'english', 'words', 'english language', 'language like', 'english like', 'like english', 'ideas']","['i love my language', 'their language is like the language of wrinkles', 'their language has become dinosaurs']"
54,56,54_meat_beef_porridge_don eat,"['meat', 'beef', 'porridge', 'don eat', 'roast', 'eat', 'pickled', 'eats', 'stew', 'beef stew']","['cooks beef', 'ask for meat', 'cooks meat']"
55,54,55_train_hurry_station_catch,"['train', 'hurry', 'station', 'catch', 'train station', 'clock', 'arrived', 'arrive', 'left', 'burn']","['the train is full', 'what train do you take', 'it s not the last train is it']"
56,64,56_gave_bought_gift_received,"['gave', 'bought', 'gift', 'received', 'picture', 'took', 'birth', 'twins', 'chief', 'sister']","['who bought it', 'who bought it', 'the chief gave the gift to the man']"
57,59,57_happy_smiled_prepared_king,"['happy', 'smiled', 'prepared', 'king', 'fourth', 'international', 'doesn happy', 'july', 'gabi', 'condition']","['why are you so happy', 'is everyone happy', 'i am very happy']"
58,62,58_kitchen_fun_noise_mhel,"['kitchen', 'fun', 'noise', 'mhel', 'busy', 'bleeding', 'tonya', 'kitchen let', 'vincent', 'nellie']","['olaf was scrounging in the kitchen', 'bambam is messing around in the kitchen', 'sneak in the kitchen']"
59,50,59_lunch_ate_quickly_having,"['lunch', 'ate', 'quickly', 'having', 'lot', 'share', 'meal', 'rice ate', 'restaurants', 'pot']","['who s hungry', 'i m hungry', 'i m not hungry']"
60,54,60_lost_lend_writer_ink,"['lost', 'lend', 'writer', 'ink', 'borrow', 'pick', 'doesn think', 'gave red', 'edible', 'note']","['whose pen is this', 'give me any pen', 'this pen is mine']"
61,51,61_farm_milk_ride_biko,"['farm', 'milk', 'ride', 'biko', 'pig', 'chickens', 'rabbit', 'yard', 'dogs', 'huts']","['there are horses in s farm', 'there are goats in s farm', 'there are cows in s farm']"
62,51,62_coffee_cup_drink_sugar coffee,"['coffee', 'cup', 'drink', 'sugar coffee', 'cinnamon', 'sugar', 'timmy', 'milk coffee', 'pandesal', 'vincent']","['more coffee', 'he made coffee for all of us', 'he made coffee for all of us']"
63,64,63_brother_different_sister_brothers,"['brother', 'different', 'sister', 'brothers', 'sister brother', 'benny', 'older', 'uncle', 'quite', 'cousin']","['who is your brother', 'he is my brother', 'this is my brother']"
64,74,64_work_job_hard_want work,"['work', 'job', 'hard', 'want work', 'patience', 'enjoy', 'work think', 'working', 'working necessity', 'work anymore']","['did work alone', 'you work too much', 'i am serious about my work']"
65,52,65_cake_living room_living_mango,"['cake', 'living room', 'living', 'mango', 'room let', 'sugar', 'making', 'gina guests', 'room', 'gina']","['is making a cake', 'get a cake if you want', 'divide that cake between the three of you']"
66,49,66_sleeping_closed_fell_baby,"['sleeping', 'closed', 'fell', 'baby', 'sleep', 'son', 'eyes', 'youngest', 'snores', 'dad']","['my brother is still sleeping', 'is he sleeping', 'he is still sleeping']"
67,55,67_chose_count_choose_colors,"['chose', 'count', 'choose', 'colors', 'don forget', 'wine', 'guess', 'forget', 'members', 'red dress']","['you can count on me', 'you can count on', 'count from one to one hundred']"
68,77,68_right_answer_doubt_add,"['right', 'answer', 'doubt', 'add', 'way', 'correct', 'sentences', 'maybe', 'wonder', 'sure']","['you guessed right', 'you are right', 'we have the right']"
69,52,69_looked_mr_possible_mr brown,"['looked', 'mr', 'possible', 'mr brown', 'named', 'men', 'mirror', 'body', 'know think', 'just came']","['the men went hunting', 'this website stores secret documents of several governments', 'there is a visitor named ono who wants to see you']"
70,45,70_yesterday_news_night_newspaper,"['yesterday', 'news', 'night', 'newspaper', 'earthquake', 'came', 'came just', 'events', 'school yesterday', 'night came']","['where did you go yesterday', 'what did you do yesterday', 'how was he yesterday']"
71,60,71_chocolate_ice_tables_chocolate shop,"['chocolate', 'ice', 'tables', 'chocolate shop', 'shop', 'cafeteria', 'ordered', 'candy', 'bar', 'store']","['they eat chocolate', 'ate chocolate', 'dennis s chocolate ice cream is delicious']"
72,36,72_thank_favor_thanks_ask,"['thank', 'favor', 'thanks', 'ask', 'quick', 'muiriel', 'sincerely', 'given', 'excuse', 'actually']","['why thank me', 'thank you', 'he should thank me']"
73,37,73_rich_salary_expensive_goal,"['rich', 'salary', 'expensive', 'goal', 'goal life', 'jewelry', 'avocado', 'applauded', 'sad want', 'public']","['you are rich', 'i m rich but i m not as rich as', 'you are rich']"
74,60,74_hugged_prefers_human_moved,"['hugged', 'prefers', 'human', 'moved', 'shame', 'usually', 'lesbian', 'boyfriend', 'lesbian long', 'fact']","['they hugged', 'who hugged', 'i hugged']"
75,34,75_song_sang_songs_singer,"['song', 'sang', 'songs', 'singer', 'inside domo', 'say doesn', 'revelers', 'popular', 'domo barsoom', 'wrote']","['we thought you were singing', 'who is singing', 'who is singing']"
76,44,76_banana_bananas_banana plantations_plantations,"['banana', 'bananas', 'banana plantations', 'plantations', 'castle banana', 'barkilyos', 'fried', 'dodong', 'castle', 'eats']","['these bananas are not yet ripe', 'we have bananas', 'are there bananas']"
77,43,77_fish_caught_grilled_empanadas,"['fish', 'caught', 'grilled', 'empanadas', 'fishing', 'bones', 'rare', 'fried', 'cooks', 'yesterday']","['raw when we eat fish', 'can t fish on this dike', 'those are not fish']"
78,46,78_english_speak english_ahead_speak,"['english', 'speak english', 'ahead', 'speak', 'english english', 'little', 'english know', 'know speak', 'studying', 'writing']","['i can speak english', 'i can speak english', 'do you know english']"
79,38,79_cold_snow_town_truck,"['cold', 'snow', 'town', 'truck', 'deep', 'covered', 'feet', 'big city', 'cold medicine', 'look mountain']","['i m cold', 'it s cold', 'has a cold']"
80,39,80_sleep_bed_just want_sleepy,"['sleep', 'bed', 'just want', 'sleepy', 'time', 'light don', 'night long', 'midnight', 'making noise', 'standing']","['go to sleep', 'i can t sleep', 'you should sleep now']"
81,36,81_fly castle_fly_pigeons_castle,"['fly castle', 'fly', 'pigeons', 'castle', 'birds', 'castle mountain', 'south', 'castle garden', 'castle hill', 'flying castle']","['many ravens fly by the castle', 'many gabiotas fly by the castle', 'many parrots fly by the castle']"
82,38,82_lie_lying_cheated_telling,"['lie', 'lying', 'cheated', 'telling', 'goes', 'kept', 'reached', 'reached egypt', 'grade', 'toothache']","['is lying', 'why are you lying', 'he is lying']"
83,42,83_glass_large oblong_oblong_glasses,"['glass', 'large oblong', 'oblong', 'glasses', 'red', 'round', 'large', 'colored', 'chocolate colored', 'purple']","['the rim of the large oblong glass is purple', 'the rim of the large oblong glass is green', 'the rim of the large oblong glass is red']"
84,57,84_travel_lived_lives_easy,"['travel', 'lived', 'lives', 'easy', 'tells', 'better', 'wanted', 'hut', 'traveling', 'love husband']","['he lived alone in a hut', 'there is nothing like traveling alone', 'traveling is easy nowadays']"
85,31,85_flower_small_rose_picked,"['flower', 'small', 'rose', 'picked', 'large', 'gray', 'picked corn', 'corn', 'yellow', 'purple']","['the small flower is red', 'the small flower is green', 'what is the name of this flower']"
86,34,86_sit_rest_sitting_bench,"['sit', 'rest', 'sitting', 'bench', 'balcony', 'taken', 'refrigerator', 'want rest', 'let', 'theater']","['can i sit in the back', 'i can sit in the back', 'can i sit behind you']"
87,34,87_tall_size_tallest_taller,"['tall', 'size', 'tallest', 'taller', 'snake', 'big', 'building', 'current', 'seventy', 'brags']","['is tall', 'is very tall', 'is he tall']"
88,51,88_ready_start_started_movie,"['ready', 'start', 'started', 'movie', 'plans', 'playing piano', 'th august', 'half hour', 'toe', 'bleeding']","['i m about to start', 'who will start', 'where do i start']"
89,48,89_television_watch_turn_watched,"['television', 'watch', 'turn', 'watched', 'watching', 'shows', 'watch television', 'turn light', 'don feel', 'soccer']","['what time do you watch television', 'i watched television', 'please don t watch television']"
90,38,90_fly_flying_flying castle_castle,"['fly', 'flying', 'flying castle', 'castle', 'fly castle', 'lot', 'beach castle', 'beach', 'waterfront', 'castle waterfront']","['many bats fly by the castle', 'many bats fly in front of the castle', 'there are many bats flying behind the castle']"
91,58,91_don like_problem_hate_like don,"['don like', 'problem', 'hate', 'like don', 'thought', 'like', 'doesn like', 'like know', 'spicy', 'like thought']","['i don t like you', 'i don t like you', 'don t you like it']"
92,42,92_hospital_doctor_saved_famous,"['hospital', 'doctor', 'saved', 'famous', 'daughter', 'physician', 'save', 'tanaka', 'operation', 'daughter took']","['the nurse is in white', 'i need a nurse now', 'i am a nurse']"
93,33,93_pale_blind_face_ugly,"['pale', 'blind', 'face', 'ugly', 'glasses', 'ears', 'eye', 'fear', 'deaf', 'scratch']","['turned pale', 'you are so pale', 'you are pale']"
94,72,94_know know_want know_know want_know,"['know know', 'want know', 'know want', 'know', 'knows', 'knows knows', 'know knows', 'knows know', 'know better', 'tabitha']","['i know you are', 'you know i want to know that', 'i know you know']"
95,40,95_open_door_close_open window,"['open', 'door', 'close', 'open window', 'door open', 'open door', 'knocking', 'window', 'eyes', 'doors']","['close the door when you leave', 'i can t close the door', 'please close the door']"
96,36,96_change_reason_changed_happens,"['change', 'reason', 'changed', 'happens', 'press', 'fred', 'leaves started', 'scary', 'change mind', 'button']","['this has to change', 'the change is yours', 'how do you change that']"
97,39,97_ashamed_sorry_aren_accept,"['ashamed', 'sorry', 'aren', 'accept', 'don shout', 'breastfeed', 'confess', 'offered', 'shout', 'disturbed']","['i have nothing to apologize for', 'you apologize', 'why didn t you apologize']"
98,46,98_war_place_join_life,"['war', 'place', 'join', 'life', 'waiting', 'minds', 'took place', 'battle', 'law', 'end']","['they are waiting for war', 'said that sometimes in war there is cannibalism', 'the war is still not over']"
99,30,99_blue_color_popcorn_tail,"['blue', 'color', 'popcorn', 'tail', 'red', 'sol', 'butter', 'sky', 'favorite', 'purple']","['is it blue', 'is it blue', 'the one is blue']"
100,35,100_bird_hey_worked_cage,"['bird', 'hey', 'worked', 'cage', 'flew', 'flies', 'window', 'wings', 'scratch', 'sky']","['if i were a bird i would fly towards you', 'what is that bird called', 'freed the bird']"
101,52,101_home_home home_christmas_coming home,"['home', 'home home', 'christmas', 'coming home', 'stayed', 'coming', 'work home', 'stay', 'reads', 'got home']","['are you at home', 'why are you at home', 'is at home']"
102,29,102_noodles_cooks sisig_knuckle_sisig,"['noodles', 'cooks sisig', 'knuckle', 'sisig', 'cooks', 'cooking', 'cancel', 'pasta', 'jhenna', 'salsa']","['is cooking noodles', 'is cooking canton noodles', 'ate noodles']"
103,40,103_wrong_admit_opinion_mistake,"['wrong', 'admit', 'opinion', 'mistake', 'path', 'definitely', 'know right', 'staying', 'obviously', 'maybe']","['i was wrong about him', 'who is wrong', 'you are wrong']"
104,41,104_met_meet_known_glad,"['met', 'meet', 'known', 'glad', 'hang', 'lesbian', 'know day', 'lesbian long', 'recognize', 'pianist']","['who met him', 'who met you', 'have you met him']"
105,47,105_haven_dinner_eaten_decided,"['haven', 'dinner', 'eaten', 'decided', 'don time', 'tonight', 'dinner time', 'slept', 'invited', 'finished']","['i haven t had dinner yet', 'i haven t eaten dinner yet', 'i still haven t eaten dinner']"
106,54,106_clock_time_machine_time time,"['clock', 'time', 'machine', 'time time', 'seven', 'leaving', 'arrive', 'arrive time', 'pm', 'fail']","['i got up at seven o clock', 'be back before ten o clock', 'how much is this clock']"
107,39,107_hit_shot_heard_weapon,"['hit', 'shot', 'heard', 'weapon', 'ball', 'used', 'night long', 'right house', 'thunder', 'type']","['who shot', 'who shot you', 'what did they hit you with']"
108,48,108_don don_touch_spoon_don,"['don don', 'touch', 'spoon', 'don', 'push', 'grass', 'bite', 'nails', 'jump', 'hold']","['don t touch me', 'don t touch me', 'don t touch that']"
109,33,109_tired_gets_looks_anymore,"['tired', 'gets', 'looks', 'anymore', 'came home', 'home tired', 'continued', 'tiring', 'days', 'walk']","['are you tired', 'i m tired', 'you will be tired']"
110,49,110_doing_hanging_busy_just,"['doing', 'hanging', 'busy', 'just', 'argue', 'came just', 'melanie', 'wasting time', 'wasting', 'leave message']","['are you busy', 'what are you doing here', 'what are you doing there just hanging around']"
111,55,111_surprised_fool_hide_added,"['surprised', 'fool', 'hide', 'added', 'saying', 'lie', 'crazy', 'curtains', 'won let', 'fine don']","['you don t have to be shy', 'was not surprised', 'i won t be surprised']"
112,35,112_came_built_america_discovered,"['came', 'built', 'america', 'discovered', 'invented', 'went america', 'island', 'wedding', 'vito', 'party']","['who discovered radium', 'who discovered america', 'who discovered america']"
113,40,113_stay_stayed_long_alive,"['stay', 'stayed', 'long', 'alive', 'days', 'situation', 'flight', 'lasted', 'bridge', 'kings']","['how long did you stay', 'i think i will stay', 'stay here']"
114,67,114_don want_want want_want_worry,"['don want', 'want want', 'want', 'worry', 'want live', 'worry don', 'leave don', 'want don', 'won leave', 'don']","['no i don t want to', 'i don t want to bet', 'i don t want that']"
115,47,115_going_went_want come_su,"['going', 'went', 'want come', 'su', 'went walk', 'boston', 'australia', 'boston don', 'airport let', 'people went']","['i went to su', 'said that you also want to come with us to boston', 'do you want to come along']"
116,36,116_care_don care_matter_doesn care,"['care', 'don care', 'matter', 'doesn care', 'don worry', 'doesn', 'worry', 'good care', 'leave stay', 'care care']","['you don t care do you', 'i don t care', 'you don t care']"
117,28,117_wash_hands_removed_face,"['wash', 'hands', 'removed', 'face', 'stains', 'handling', 'sink', 'useless', 'tooth', 'rough']","['wash everything', 'did you wash everything', 'wash everything']"
118,44,118_happened_happen_know happen_just want,"['happened', 'happen', 'know happen', 'just want', 'future', 'idea', 'happen don', 'happened don', 'events', 'martial']","['but something unexpected happened', 'what really happened', 'something happened']"
119,62,119_come_come come_bring_come want,"['come', 'come come', 'bring', 'come want', 'don come', 'carry', 'want bring', 'wine', 'come tomorrow', 'noon']","['come here', 'come on', 'come on']"
120,39,120_hear_listen_listened_repeat,"['hear', 'listen', 'listened', 'repeat', 'carefully', 'voice', 'couldn', 'radio', 'tell heard', 'raise']","['who listened', 'i listened', 'listened to me carefully']"
121,27,121_beach_sand_gray_pink,"['beach', 'sand', 'gray', 'pink', 'shallow', 'jerry', 'wally', 'adjacent', 'hot tiyera', 'castles']","['the sand on the beach there is white', 'the sand on the beach there is white', 'the sand on the beach there is white']"
122,44,122_delicious_esmeraldo_lime_vincente,"['delicious', 'esmeraldo', 'lime', 'vincente', 'gelatin', 'fine', 'juice', 'hopia', 'goat', 'sago gelatin']","['esmeraldo s tsampurado is delicious', 'esmeraldo s soup is delicious', 'esmeraldo s espasol is delicious']"
123,25,123_birthday_today_celebrate_august,"['birthday', 'today', 'celebrate', 'august', 'happy', 'june', 'loss', 'banana cake', 'tomorrow', 'sandy']","['when is your birthday', 'when is your birthday', 'my birthday is in november']"
124,53,124_won_win_wins_win won,"['won', 'win', 'wins', 'win won', 'won tell', 'game', 'victory', 'inside closet', 'closet', 'chess']","['who should win', 'you win', 'will win this game']"
125,32,125_laughed_laugh_make_boys,"['laughed', 'laugh', 'make', 'boys', 'girls', 'laugh laughed', 'distance', 'laboratory', 'drugs', 'mistake']","['they laughed', 'oswaldo laughed', 'he laughed']"
126,35,126_fast_run_running_ran,"['fast', 'run', 'running', 'ran', 'trying', 'heart', 'needs', 'chase', 'translate', 'veins']","['don t run too fast', 'he has to run very fast', 'i can t run as fast as him']"
127,30,127_religion_science_fiction_science fiction,"['religion', 'science', 'fiction', 'science fiction', 'art', 'religions', 'scientific', 'religious', 'studied', 'delirium']","['religion is just entertainment for the masses', 'why do you want to discuss religion', 'they have no religion']"
128,57,128_likes_great_like_totong likes,"['likes', 'great', 'like', 'totong likes', 'think like', 'favorite', 'pizza', 'totong', 'squid', 'idea']","['yes i like that', 'i like you', 'do you like san francisco']"
129,36,129_late_early_wake_woke,"['late', 'early', 'wake', 'woke', 'wakes early', 'wakes', 'home early', 'sleep just', 'early morning', 'arrived']","['he woke me up early', 'you are early', 'i get up early']"
130,30,130_russian_adil_kazakh_kazakhstan,"['russian', 'adil', 'kazakh', 'kazakhstan', 'era', 'ukraine', 'adil kazakh', 'says', 'speaks', 'music']","['adil said that during the soviet era people in kazakhstan hid western music', 'western music was more prized during the soviet era than it is today in kazakhstan adil said', 'adil knows both russian and kazakh languages']"
131,31,131_blood_smell_nose_bad,"['blood', 'smell', 'nose', 'bad', 'shit', 'greasy', 'stinks', 'noses', 'boiling', 'veins']","['do i smell bad', 'smell it', 'i smell blood']"
132,31,132_hold_hand_kiss_mouth,"['hold', 'hand', 'kiss', 'mouth', 'girlfriend', 'opened', 'hands', 'create', 'wide', 'tightly']","['was the first boy to kiss', 'i want to hold her hand', 'hold my hand']"
