tagalog,english,cebuano,kapampangan,bicolano
Nagliligo siya bawat umaga.,He takes a bath every morning.,Nagaligo siya kadabuntag.,Mandilu ya balang abak.,Nagkakarigos siya kada aga.
Huwag kang masyadong kumain ng keyk.,Don't eat too much cake.,Ayaw palabi kaon og keyk.,E ka mamangan dakal a cake.,Dai magkakan nin kadakol na cake.
Gusto mo nitong kulay?,Do you like this color?,Ganahan ka ani nga kolor?,buri me ining kule?,Gusto mo an kolor na ini?
Kailan ang pinakahuling beses na tumalon ka sa tuwa?,When was the last time you jumped for joy?,Kanus-a ka ulahing niambak sa kalipay?,kapilan ing tauling besis a linundag ka keng saya?,Kasuarin an huring pagkakataon na ika naglukso sa kaogmahan?
Gumawa siya ng kape para sa lahat kami.,He made coffee for all of us.,Gahimo siyag kape alang sa tanan namo.,Ginawa yang kape para kekami ngan.,Naggibo siya nin kape para sa samo gabos.
Gumawa siya ng kape para sa lahat tayo.,He made coffee for all of us.,Gahimo siyag kape alang namong tanan.,Ginawa yang kape para kekami ngan.,Naggibo siya nin kape para sa samo gabos.
Mabili ang mga payong.,Umbrellas are available for purchase.,Mapalit ang mga payong.,Atin pung payung a malyaring saliwan.,An mga payong pwedeng bakalon.
Ang yabang!,The arrogance!,Kahambog ba!,Ing kayabangan!,An arogante!
Ang arogante!,The arrogant!,Ka hilas ba!,Yung mayabang!,An mga arogante!
"Baka, baka.","Maybe, maybe.","Basin, basin","Siguru, mekad.","Tibaad, tibaad."
Dapat labhan yung syert.,The shirt should be washed.,Dapat labhan tong syert.,Ing kamiseta dapat yang hugasan.,An kamiseta dapat na hugasan.
Dapat labhan yung baro.,The bar should be washed.,Dapat labhan tong baro.,Ing bar dapat yang hugasan.,An bar dapat na hugasan.
Ang aneks ay nasa hilaga ng orihinal na gusali.,The annex is to the north of the original building.,Ang aneks kay anaa sa kasadpan sa orihinal nga gusali.,Ing annex atyu ya keng norti ning orihinal a gusali.,An annex yaon sa norte kan orihinal na edipisyo.
"Noong bata pa ako, may itim na baboy na nakabakod sa tabi ng bahay namin.","When I was young, there was a black pig fenced next to our house.","Adtong bata pako, naay itom nga baboy nga gialihan sa tapad sa balay.","Anyang malati ku, atin metung a babi a maitim a makakudal keng siping ming bale.","Kan sadit pa ako, may kudal na itom na baboy sa kataid kan harong mi."
Matutuloy tayo kung ang trapik ay di mabigat.,We can continue if the traffic is not heavy.,Madayon ta kung ang trapik dili kaayo bug-at.,Malyari tamu pung ituluy nung ali mabayat ing traffic.,Pwede po kitang magdagos kun bako man makusog an trapiko.
"Maaari, maaari.","Can, can.","Pwede,pwede.","Malyari, malyari.","Pwede, pwede."
May platinum kard daw siya.,He said he has a platinum card.,Naa daw siya platinum nga kard.,Sabi na atin yang platinum card.,Igwa daw siyang platinum card.
Nag-imbento ang bata ng sarili niyang sulat na logograpiko para sa hilig niya.,The boy invented his own logographic writing for his passion.,Nag-imbento ang bata og sariliniyang sulat nga logograpiko pasa sa hilig niya.,Ing anak a lalaki ginawa yang sarili nang pamanyulat logographic para keng kayang passion.,An aking lalaki nag-imbento kan saiyang sadiring pagsurat nin logo para sa saiyang hilig.
Arteng grapiko lamang daw ang mga sulat na logograma.,It is said that logogram letters are only graphic art.,Arteng grapiko ra daw ang mga sulat nga logograma.,Sabi da reng letra ning logogram graphic art la mu.,Sinasabi na an mga letra sa logogram graphic art sana.
Di makontrol ni Tomas ang mga anak niya.,Tomas could not control his children.,Dili mapugngan ni Tomas ang iyang mgha anak..,E na agyung kontrolan Tomas ding anak na.,Dai makontrol ni Tomas an saiyang mga aki.
Alam kong ikaw nga.,I know you are.,Kabalo ko nga ikaw to.,balu ku ika.,Aram ko na ika.
Mas gusto ko sa bahay kaysa sa lumabas.,I prefer to be at home than to go out.,Mas ganahan ko sa balay kaysa sa mugawas.,Mas buri ku ing atyu ku bale kesa keng lulwal.,Mas gusto kong yaon sa harong kisa magluwas.
Di pa oras ng hapunan.,It's not dinner time yet.,Dili pa ta mangaon og panihapon.,E pa oras ning apunan.,Bako pa oras nin pamanggihan.
Puno iyan.,That's full.,Puno na.,Puno ya ita.,Puno na iyan.
Puno iyon.,That's full.,Puno to.,Puno ya ita.,Puno na iyan.
Mas magaling ba ang wikang Lojban kung iniiwasan ang mga punto?,Is the Lojban language better if the dots are avoided?,Mas hawod ba ang pinulungang Lojban kung likayan ang mga punto?,Mas masanting ya ing amanung Lojban nung iwasan la reng tuldok?,Mas maray daw an tataramon na Lojban kun lilikayan an mga tuldok?
Mesa iyon.,It's a table.,Lamesa kana.,Metung yang lamesa.,Sarong lamesa ini.
Mesa iyan.,That's a table.,Lamesa na.,Metung yang lamesa ita.,Sarong lamesa iyan.
Ang pakiramdam ni Tomas ay bago siyang tao.,Tomas feels like a new person.,Ang paminaw ni Tomaskay bag-ong tawo na siya.,Parang bayung tau ya i Tomas.,Garo bagong tawo an pagmati ni Tomas.
Nagbeyk si Kate ng apolkeyk.,Kate baked an apple cake.,Nagbeyk si Kate og apol keyk.,I Kate meglutu yang apple cake.,Si Kate nagluto nin keyk na mansanas.
Hayaan mo akong litratuhin ka.,Let me take a picture of you.,Pasagdi ko nga kuhaan kag hulagway.,paburen mu kung kuanan dakang letratu.,Tuguti akong magkua nin ritrato saimo.
Nagpuntang bundok kami para mag-iski.,We went to the mountain to ski.,Niadto mig bukid aron mag iski.,minta kami keng bunduk para mag ski.,Nagduman kami sa bukid tanganing mag-ski.
Nangingilabot ako nang iniisip iyon.,I shudder to think about it.,Nanglimbawot ko sa akong paghuna-huna.,mangagatal ku nung isipan ku ita.,Nagkukubogkubog ako pag iniisip ko ini.
Isipin mo ang sarili mo.,Think about yourself.,Huna-hunaa ang imong kaugalingon.,Isipan me ing sarili mu.,Isipon an saimong sadiri.
Humihihip ng bula ang mga bata.,Children blow bubbles.,Gahuyop og bula ang mga bata.,Deng anak titiup lang bula.,An mga aki naghuhuyop nin mga bula.
Meron pa sa buhay imbes na pinabibilisan siya.,There's more to life instead of rushing him.,Naay pay kinabuhi imbes nga gipaspasan siya.,Atin pang mas maragul keng bie kesa keng pagmadali me.,Igwa pang mas dakul sa buhay imbes na hidalion siya.
Huwag mong lagyan ng asukal ang kape.,Do not add sugar to coffee.,Ayaw butangi og asukar ang kape.,E ka magdagdag asukal keng kape.,Dai magdagdag nin asukar sa kape.
Sumasabog na ako ng ihi.,I'm bursting with urine.,Kabutuhon nako kaayo sa akong kaihion.,sasabug ing ihi ku.,Nagbubuga ako sa ihi.
Si Ginoong Brown yata siya.,I think he is Mr. Brown.,Siya man siguro si manong Brown.,bala ku ya i Mr. Brown.,Sa hiling ko siya si Mr. Brown.
Nilagyan ko ng gatas ang kape ko.,I put milk in my coffee.,Gisagulan nako og gatas ang akong kape.,dininan keng gatas ing kape ku.,Nagbugtak ako nin gatas sa sakuyang kape.
Bumalik na ang mga estudyante.,The students are back.,Namalik na ang mga estudyante.,Mibalik la reng estudyante.,Nagbalik na an mga estudyante.
"Ang numero ng kuwarto ninyo, po.","Your room number, please.",Ang numero ni sa inyong kwarto po.,"Ing kekang kwartu, pakisabi.","An numero kan saimong kwarto, tabi."
"Sa pagbalik ng taglamig, umiikli na ang araw.","With the return of winter, the days are getting shorter.","Sa pagbalik sa tingtugnaw, nagamubo na ang adlaw.","King pamagbalik ning dimla, mas makuyad la reng aldo.","Sa pagbalik kan tiglipot, an mga aldaw nagigin mas halipot."
Namumula sa otonyo ang buong bundok.,The whole mountain was red from the heat.,Nangapula sa otonyo ang tibuok bukid.,Mapula ya ing mabilug a bunduk uli na ning pali.,Napula an bilog na bukid huli sa init.
Namumula sa tag-ulan ang buong bundok.,The whole mountain is red from the rainy season.,Nangapula sa ting-ulan san tibuok bukid.,Mapula ya ing mabilug a bunduk uli na ning kauran.,Mapula an bilog na bukid huli sa tag-uran.
Gaano kahaba ang tulay?,How long is the bridge?,Unsa kataas ang tulay?,Kapilan ya kaba ing tulay?,Gurano kahalaba an tulay?
Noldor kami.,We are Noldor.,Noldor man mi.,Ikaming Noldor.,Kami si Noldor.
Ako si Hisiel.,I am Hiziel.,Ako si Hisiel.,Aku i Hiziel.,Ako si Hiziel.
Isa ka ba sa mga Sindar?,Are you one of the Sindars?,Isa ba ka sa mga Sindar?,Metung ka kareng Sindar?,Saro ka daw sa mga Sindar?
Isang Noldo ba ang nasa ilalim ng puno?,Is a Noldo under the tree?,Usa ka Noldo ba ang naa sa ilalom sa punuan?,Atin bang Noldo keng lalam dutung?,Igwa daw nin Noldo sa irarom kan kahoy?
Di ako marunong magsalita ng Kwenya.,I don't know how to speak Kwenya.,Dili ko kabalong mag istorya og Kwenya.,E ku byasang magsalitang kwenya.,Dai ako tataong magtaram nin Kwenya.
Nagbabantay ng gubat sina Hisiel at Nenwð.,Hisiel and Nenwð guard the forest.,Gabantay ug lasang sila Hisiel ug Nenwe.,I Hisiel ampo i Nenwð magbante la keng kagubatan.,Si Hisiel asin Nenwð an nagbabantay sa kagubatan.
Gumagamit ng mga letrang may kudlit ang maraming wika.,Many languages ​​use apostrophes.,Gagamit ug mga letra nga anaay kudlit ang kadaghanang sinultian.,Dakal a amanu ing gagamit apostrophe.,Dakul na mga tataramon an naggagamit nin mga apostrope.
Pranses ako.,i am french,Ako kay pranses.,french ku,ako Pranses
Nakita ko siyang nagnanakaw ng peras sa hardin ng bunga.,I saw him stealing pears from the orchard.,Kakita ko kaniya nga nangawat ug peras sa tamnanan ug bunga.,Ikit keng manako yang peras keng orchard.,Nahiling ko siyang naghahabon nin mga peras sa tatamnan.
"Nang kasama kami, gusto mong magtsa sa tanghali?","When we were together, would you like to have tea at noon?","Katong kita nag uban, ganahan ka magtsa sa udto?","Inyang abe-abe tamu, bisa kang minum tsa neng gatpanapun?","Kan kita magkaibanan, gusto mo daw mag-inom nin tsa sa udto?"
Di puwedeng gutom siya; katatanghalian lamang niya.,He can't be hungry; he just had lunch.,Dili mamahimong gigutom siya; bag-o lang siya naniudto.,E ya malyaring danupan; mengan ya mu.,Dai siya pwedeng magutom; naglunch lang siya.
Wag mong pag-usapan 'to kahit kanino.,Don't talk about it with anyone.,Ayaw ni hisguti masking kakinsa.,E mu na pisabian iti king ninu man.,Dai mo iyan pag-olayan sa kiisay man.
Nasa ref ang pagkain.,The food is in the fridge.,Anaa sa sulod sa prigeder ang pagkaon.,Ing pamangan atyu keng fridge.,An kakanon yaon sa repridyeretor.
Ang dalawang ulong agila ng Awstriya ay naghari sa parte ng Polonya.,The two-headed eagle of Austria reigned over Poland.,Ang duha ka ulo sa agila sa Awstriya kay nangulo sa parte sa Polonya.,Ing aduang buntuk a agila ning Austria mig-ari ya king Poland.,An agila na may duwang payo sa Austria naghade sa Polandia.
Namili si Maria ng bulaklak.,Maria bought flowers.,Ningpalit ug daghang bulak si Maria.,Sinali yang bulaklak i Maria.,Si Maria nagbakal nin mga burak.
Bumili si Maria ng bulaklak.,Maria bought flowers.,Ningpalit ug bulak si Maria.,Sinali yang bulaklak i Maria.,Si Maria nagbakal nin mga burak.
Dumating ka ba noong kamakalawa?,Did you come last night?,Niabot ka ba atong niaging adlaw?,Dinatang ka kanitang bengi?,Nagdigdi ka kasubanggi?
Kumanan sa susunod na interseksiyon.,Turn right at the next intersection.,Patoo sa musunod nga kinasang-ang dalan.,Lumiko kang wanan keng tutuking intersection.,Magliko sa too sa sunod na interseksyon.
Ipinaggawa ako ni Tomas ng hawla ng ibon.,Tomas made me a bird cage.,Gipabuhat ko ni Tomas ug tangkal sa langgam.,Gewa na kung kulungan ayup Tomas.,Ginibo ako ni Tomas nin hawla nin gamgam.
Bawal manigarilyo!,No smoking!,Ginadili ang pagpanabako!,Bawal manigarilyu!,Dai magsigarilyo!
"Bukas, pauwi na ako.","Tomorrow, I'm going home.","Ugma, pauli na ko.","Bukas, muli naku.","Saaga, mauli na ako."
Gusto ko ang awto mo.,I like your car.,Giganahan ko sa imong awto.,buri ke ing saken mu.,Gusto ko an saimong kotse.
Di na ako makakain.,I can't eat anymore.,Di nako kakaon.,E naku makapangan.,Dai na ako makakakan.
Nadiskubre ko ang katotohanan.,I discovered the truth.,Nahibaw-an ko ang kamatuoran.,adiskubri ke ing katutwan.,Nadiskubre ko an katotoohan.
Walang mas mapakinabang kaysa sa potokopyador.,Nothing is more useful than a photocopier.,Walay mas mapahimuslan kaysa sa makina sa pagkopya.,Ala nang mas magamit pa kesa keng photocopier.,Mayo nang mas kapaki-pakinabang pa sa sarong photocopier.
Ineeym namin ang obhektibong iyon.,We aim for that objective.,Gitinguha namo nga makab-ot ang katuyoan.,Layun mi ing obhetibu a ita.,Kami nagmamawot kan obhetong iyan.
Madyik iyon.,That's magic.,Kato kay madyik.,Magic ya ita.,Mahika iyan.
Bumalik ka bago mag-alas diyes.,Be back before ten o'clock.,Balik usa muabot ang alas diyes.,Magbalik ka bayu alas dies.,Magbalik bago mag-alas dies.
Papkorn na maraming mantikilya ang gusto ni Tomas.,Tomas likes popcorn with a lot of butter.,Papkorn nga daghag mantikilya ang ganahan ni Tomas.,I Tomas buri na ing popcorn a dakal mantikilya.,Gusto ni Tomas an popcorn na may dakul na mantikilya.
Itong gamot ay makakapagaling sa iyo.,This medicine will heal you.,Kani nga tambal ang makapa-ayo nimo.,Ing panulu ayni pakayapan na ka.,An bulong na ini an magpapaomay saimo.
Balak kong mag-aral ng Ingles nang itong tanghali.,I intend to study English this afternoon.,Plano nakong magtuon ug Ingles karong udto.,balak kung magaral english ngening gatpanapun.,Tuyo kong mag-adal nin Ingles ngonian na hapon.
Mabilis at nakakatuwa.,Fast and fun.,Paspas ug kataw-anan.,Mabilis at masaya.,Marikas asin maogma.
Kasisimula niyang magtugtog ng piyano.,He just started playing the piano.,Bag-o ra siya nagsugod og tutog sa piyano.,Magumpisa ya mung magpiano.,Nagpoon pa sana siyang magtugtog nin piano.
Dumaan ako sa tabi ng bahay niya kahapon.,I passed by his house yesterday.,Niagi ko sa kilid sa ilang balay gahapon.,Dinalan ku keng bale na napun.,Nag agi ako sa harong niya kasuodma.
"Kung mayaman ako, bibilhin ko.","If I were rich, I would buy it.","Kung dato ko, paliton nako.","Nung makwalta ku, sali ku.","Kun ako mayaman, babakalon ko ini."
May telepono ka ba?,do you have a phone,Naa ba kay telepono?,atin kang phone,igwa ka nin telepono
"Noong huli, masyadong mahal ang karne.","In the past, meat was too expensive.","Katong ni-agi, astang mahala sa karne.","Dati, masyadu yang mal ing karni.","Kaidto, mahalon an karne."
Ako o ikaw ang pupunta.,You or I will go.,Ako o ikaw ang muadto.,Ika o aku ing munta.,Ika o ako an maduman.
Walang asukal dito.,There is no sugar in it.,Walay asukal diri.,Ala yang asukal ing laman na.,Mayo nin asukar digdi.
Wag kumain!,Don't eat!,Ayaw ug kaon!,E ka mamangan!,Dai magkakan!
"Oo nga, pero iyon?","Yes, but that?","Oo nga, pero iyon?","wa, pero ita?","Iyo, alagad iyan?"
Pakinig ko ang lahat.,I listen to everything.,Napaminaw nako tanan.,makiramdam ku keng sabla.,Nagdadangog ako sa gabos.
Mga pusa sina Klabaster at Gizmo.,Klabaster and Gizmo are cats.,Sila Klabster ug Gizmo kay mga iring.,I Klabaster ampo i Gizmo pusa la.,Si Klabaster asin Gizmo mga pusa.
Maganda siya at talagang mayaman.,She is beautiful and really rich.,Maanyag siya ug tinuod nga dato.,Malagu ya at talagang mabandi ya.,Magayon siya asin talagang mayaman.
Umuulan.,It's raining.,Gaulan.,Mauran.,Nag-uuran.
Sabihin mo sa Ingles.,Say it in English.,Ingna kini sa Ingles.,Sabyan me keng English.,Sabihon ini sa Ingles.
Lumang piyano iyon.,It's an old piano.,Dugay na to nga piyano.,Lumang piano ya.,Sarong lumang piano ini.
Kay Teodoro ang rosas.,The rose belongs to Teodoro.,Alang kang Teodoro ang rosas.,Ing rosas bandi neng Teodoro.,An rosas sadiri ni Teodoro.
Matahimik ang batang lalaki.,The boy was quiet.,Hilumon nang batang laki.,Tahimik ya ing anak.,Toninong an aki.
Isang daang porsyentong puro ang katas ng mansanas.,One hundred percent pure apple juice.,Usa ka gatus ka porsyento nga puro ang katas sa mansanas.,dinalan a porsyentu purung katas ning mansanas.,Sanggatos porsyento na purong duga nin mansanas.
Ang tunay na lalaki ay umiinom ng tsa.,Real men drink tea.,Ang tinuod nga laki kay muinom ug tsa.,Deng tune lalaki miminum lang tsa.,An mga tunay na lalaki nag-iinom nin tsa.
Libro mo ito.,This is your book.,Imuha ning libro.,ini ing kekang libru.,Ini an saimong libro.
Sinong nagtuturo sa iyo?,Who teaches you?,Kinsay gatudlo ka nimo?,Ninu ing tuturu kekayu?,Siisay an nagtutukdo saimo?
Wag mong sabihin kahit kanino.,Don't tell anyone.,Ayaw isulti bisan ka kinsa.,E mu sasabyan kaninu man.,Dai ka magsabi sa kiisay man.
Nakahiga ako sa damo.,I lay on the grass.,Naghigda ko sa sagbot.,makakera ku keng dikut.,Naghigda ako sa doot.
May kumakatok sa inyong pinto.,Someone is knocking on your door.,Adunay nanuktok sa inyong purtahan.,Atin kakatuk keng pasbul mu.,May nagtutuktok sa saimong pinto.
Anong kabutihan ng pagbabasa ng mga librong ganoon?,What good is reading such books?,Unsay maayo sa pagbasa ug inganang libro?,Nanu ing ulaga ning pamamasa kareng librung makanyan?,Ano an pakinabang sa pagbasa nin siring na mga libro?
Ibili mo ako ng kahon ng tsokolate at ako'y magiging kontento.,Buy me a box of chocolates and I'll be satisfied.,Palita ako usa ka kahon nga tsokolate ug matagbaw ako.,Sali kang metung a kaban a tsokolati at mabusni ku.,Pabakalan mo ako nin sarong kahon nin tsokolate asin mabasog ako.
Nakita ka niya sa teatro.,He saw you at the theater.,Nakit-an ka niya sa teatro.,ikit na ka keng sinehan.,Nahiling ka niya sa teatro.
Nakakabilang ang bata hanggang dalawampu.,The child counts to twenty.,Ang bata kay makaihap hangtod baynte.,Ing anak mabibilang ya anggang aduang pulu.,An aki nagbibilang sagkod sa beynte.
"Kung may sipon, inumin itong gamot ho.","If you have a cold, take this medicine.","Kung adunay ka bugnaw, inom niini nga tambal.","Nung atin kang sipon, inuman me ining panulu.","Kun ika may sipon, inomon an bulong na ini."
Gusto kong siya ang gumawa ng mahirap na trabaho.,I want him to do the hard work.,Ganahan ko nga siya ang mubuhat atong hago nag buluhaton.,Buri ku ing gawan na ing masipag a obra.,Gusto kong siya an maggibo kan masakit na trabaho.
Di niya ako pinakikinig ng kanyang bibig.,He didn't listen to me with his mouth.,Dili ko niya ginapaminaw sa iyang mga istorya.,E naku pekiramdaman keng asbuk na.,Dai niya ako dinangog kan saiyang nguso.
"Bukas, bakit di ka pumarini't maglaro?","Tomorrow, why don't you come and play?","Ugma, nganong dili ka mu anhi diri ug magdula?","Bukas, bakit e ka datang at maglarin?","Sa aga, tano ta dai ka magdigdi asin mag-aling?"
"Sa Pebrero, maraming niyebe.","In February, there is a lot of snow.","Sa Pebrero, daghag niyebe.","neng pebreru, dakal ing snow.","Kun Pebrero, kadakol nin niyebe."
Di ko sinukat ang says nila.,I didn't measure what they said.,Wala nako gisukod ilahang kadak-on.,Eku sukad ing sinabi da.,Dai ko sinukol an sinabi ninda.
Lahat ito'y sa guni-guni mo.,It's all in your imagination.,Kani tanan naa sa imong handurawan.,Atyu ngan keng imahinasyun mu.,Yaon ini gabos sa saimong imahinasyon.
Sabi ni Tomas ay lahat ito'y sa guni-guni mo.,Tomas said it's all in your imagination.,Nisulti si Tomas nga kani tanan naa sa imong handurawan.,"Sabi nang Tomas, atyu ngan king imahinasyun mu.","Sabi ni Tomas, nasa imahinasyon mo gabos."
Namutla ka sa takot.,You turned pale with fear.,Nangluspad ka sa kahadlok.,Meging maputla ka keng takut.,Nagluya ka sa takot.
Magtatalop ako ng dalandan para sa 'yo.,I will peel an orange for you.,Magpanit ako ug aranghita para ka nimo.,balatan ke ing orange para keka.,Magpapanit ako nin kahel para saimo.
Sabi nila'y buhay pa siya.,They said he was still alive.,Nisulti sila nga buhi pa siya.,Sabi da mabie ya pa.,Sabi ninda buhay pa siya.
Mahusay naman ang lahat sa tahanan.,All is well at home.,Lihiro ang tanan sa balay.,Mayap ngan ing sabla keng bale.,Maray an gabos sa harong.
Anong ginagawa mo rito?,what are you doing here,Unsa imong ginabuhat diri?,nanung gagawan mu keni,ano an ginigibo mo digdi
Di niya isip na mahusay ang manunulat.,He doesn't think the writer is good.,Wala siya gahunahuna nga lihiro ang magsusulat.,E na isipan na mayap ya ing sinulat.,Dai niya iniisip na marahay an parasurat.
Di pa makasalita ang beybi ko; umiiyak lang siya.,My baby can't speak yet; he was just crying.,"Dili pa kaistorya akong anak, gahilak ra siya.",E ya pa bisang magsalita ing anak ku; manangis ya mu.,Dai pa nakakataram an sakuyang omboy; naghihibi lang siya.
Anong obhektibo ng edukasyon?,What is the objective of education?,Unsa ang katuyoan sa edukasyon?,Nanu ing obhetibu ning pamagaral?,Ano an obheto kan edukasyon?
Gusto kong magtrabahong kasama ka.,I want to work with you.,Ganahan ko makigtambayayong nimo.,Buri kung makipag obra keka.,Gusto kong magtrabaho kaiba mo.
Di niya gusto ang kainsikan niya.,He doesn't like his mess.,Dili siya ganahan anang iyang pagkamausisaon.,E na buri ing kaguluan na.,Habo niya kan saiyang karibarawan.
"Pakiabot ng mapa ng kalye, nga?","Hand over the street map, will you?",Pakitunol sa mapa sa dalan.,"Ibie me ing mapa ning dalan, buri mu?","Itao an mapa kan tinampo, pwede?"
Anong iniiyakan mo?,What are you crying about?,Unsa imong ginahilakan?,Nanung tatangis mu?,Ano an pigtatangis mo?
Tuloy ka nang wala ako.,Go on without me.,Sulod nga wala ko.,Tuloy ka nung ala ku.,Padagos na mayo ako.
Ang Tatoeba ay diksiyunaryo.,Tatoeba is a dictionary.,Ang Tatoeba usa ka diksiyunaryo.,Ing Tatoeba metung yang diksyunariu.,An Tatoeba sarong diksyunaryo.
Nakita mo iyon?,did you see that?,Kakita ka ato?,ikit me ita?,nahiling mo iyan?
Ako nga.,I am.,Ako daw.,Yaku i.,Ako.
Talagang seksi ang mga binti mo.,Your legs are really sexy.,Seksi gyud imong paa.,Sexy la talaga reng bitis mu.,Sexy talaga an saimong mga bitis.
Talagang iba ang opinyon ko kaysa sa iyo.,My opinion is definitely different than yours.,Naa gyud koy lain nga opinion kaysa nimo.,Ing kanakung opinyun aliwa ya keng keka.,An sakuyang opinyon talagang iba sa saimo.
Pabalik kami sa Europa sa Hunyo!,We're coming back to Europe in June!,Mobalik kami sa Europa sa Hunyo!,Magbalik kami keng Europa keng June!,Mabalik kami sa Europa sa Hunyo!
Ang kaalaman ng wika ay isang bagay; ang pagtuturo nito ay iba pa.,Knowledge of the language is one thing; teaching it is something else.,Usa ka butang ang pagkahibalo sa sinultian; apan lahi nga butang ang pagtudlo niini.,Ing beluan king amanu metung yang bage; ing pamagaral kaniti aliwa ya.,An kaaraman sa tataramon sarong bagay; an pagtukdo kaini sarong bagay na iba.
Gunitain mong nasa balat ko ikaw!,Imagine you are in my skin!,Hinumdumi ang naa sa akong panit!,Isipan mu atyu ka keng balat ku!,Imahinara na yaon ka sa sakuyang kublit!
Isip ko'y hindi blondo ang Esperanto.,I think Esperanto is not blondo.,Sa akong hunahuna dili blond si Esperanto.,Bala ku e ya blondo ing Esperanto.,Sa hiling ko an Esperanto bakong blondo.
Totoo yata ang istorya niya.,I think his story is true.,Murag tinuod iyang istorya.,Isipan ku tutu ing kwentu na.,Sa hiling ko totoo an saiyang istorya.
Ang gðtom ang pinakamagaling na salsa.,Gðtom is the best salsa.,Ang kagutom mao ang labing kaayo nga salsa.,Ing Gðtom ing pekamasanting a salsa.,An Gðtom iyo an pinakamarahay na salsa.
Mas gusto ko ang matapang na kape kaysa sa matabang na kape.,I prefer strong coffee to fat coffee.,Labing ganahan ko anang gahi nga kape kaysa matam-is nga kape.,Mas buri ke ing masikan a kape kesa keng mataba a kape.,Mas gusto ko an makusog na kape kisa sa mataba na kape.
"Pakibigay ho ang susi sa akin, nga?","Please give me the key, will you?",Palihug ihatag kanako ang yawi,"Paki dinan me ing susi, buri mu?","Itao mo tabi sako an liabe, pwede?"
Sinubukan niyang maging mayaman at sikat.,He tried to be rich and famous.,Gisulayan niya nga mahimong adunahan ug bantog.,Sinubukan nang maging mabandi at mibantug.,Hiningowa niang magin mayaman asin bantog.
Nasaktan ko ba ikaw?,did i hurt you,Napasakitan ba tika?,penasakitan daka,nasakitan taka
Nahihirapan akong magkonsentreyt.,I have difficulty concentrating.,Naglisod kog konsentrar.,masakit kung magconcentrate.,Nadedepisilan akong magkonsentrar.
Pinasabi nila kay Maria ang lahat.,They told Maria everything.,Gipaingon nila kay Maria ang tanan.,Belita ra ngan kang Maria.,Sinabi ninda ki Maria an gabos.
Nagtrabaho nang nagtrabaho sila sa pabrika.,Worked when they worked in the factory.,Sila kay nanarbaho ug pag-ayo sa pabrika.,Megobra la nung magobra la keng pabrika.,Nagtrabaho kan sinda nagtatrabaho sa pabrika.
"Mamamatay ba ako? ""Hindi, magpapahinga ka.""","will i die ""No, you're going to rest.""","Mamatay na ba ko? ""Dili, mopahulay ka.""","mate ku ba ""Ali, magpaynawa ka.""","magagadan daw ako ""Dai, mapahingalo ka."""
